method,fold,demand_type,rmse,mae
croston,1,smooth,5.508497155661995,3.0843072521388857
croston,1,erratic,6.208342698901497,3.9430110709750164
croston,1,intermittent,1.6591232615631801,0.7815868057606741
croston,1,lumpy,2.6961455125381457,1.511268538904623
croston,2,smooth,4.898310286238213,2.9903373362462524
croston,2,erratic,6.185339740875462,3.8350969376324118
croston,2,intermittent,1.7010013718973547,0.8090369138813167
croston,2,lumpy,2.929353890415675,1.6564682656463103
croston,3,smooth,4.39206664203295,2.8148818810560807
croston,3,erratic,5.6337368767512785,3.6211658644318505
croston,3,intermittent,3.3554334929077307,0.9764588225552796
croston,3,lumpy,2.553238294191054,1.5336539175003019
croston,4,smooth,4.671879972188746,2.9166803971617896
croston,4,erratic,5.644639125576891,3.689440045662236
croston,4,intermittent,1.7169814981431635,0.8224516258142818
croston,4,lumpy,2.7560019932158446,1.5814109869844633
croston,5,smooth,4.8716412767155886,2.9251847518948866
croston,5,erratic,5.700890655563297,3.6979687200675824
croston,5,intermittent,2.3100905671911844,0.8846057197109573
croston,5,lumpy,2.700485133003508,1.5233190728961123
sba,1,smooth,5.410561064709403,3.0135870132004245
sba,1,erratic,6.198570295648273,3.8899090409551986
sba,1,intermittent,1.6059668252848371,0.7646882687426656
sba,1,lumpy,2.702443663724037,1.4935917914234538
sba,2,smooth,4.999388695039161,2.9959931589448954
sba,2,erratic,6.1969661806342895,3.805629166631744
sba,2,intermittent,1.6570706413851226,0.7956920672291361
sba,2,lumpy,2.910958415906874,1.6322551535721705
sba,3,smooth,4.386122603079047,2.7742674131692904
sba,3,erratic,5.606724229244817,3.563836315688265
sba,3,intermittent,3.3571258263715755,0.9650239999199196
sba,3,lumpy,2.538613758415449,1.5089637443487904
sba,4,smooth,4.554286098671998,2.853931301335787
sba,4,erratic,5.590519812011503,3.6111671620490062
sba,4,intermittent,1.7525386322276422,0.8159741387748954
sba,4,lumpy,2.737293462216005,1.5540860452964873
sba,5,smooth,4.833400538906674,2.891478689937671
sba,5,erratic,5.674483933662953,3.635886458292674
sba,5,intermittent,2.2166913840435227,0.8657997893752954
sba,5,lumpy,2.6983563393317476,1.5009643793148857
