method,demand_type,fold,level,wrmsse
croston,intermittent,1,L1_Total,1.431420542758343
croston,intermittent,1,L2_State,1.2739245890518804
croston,intermittent,1,L3_Store,0.9940254050646026
croston,intermittent,1,L4_Category,1.2526174328987658
croston,intermittent,1,L5_Department,1.0483144847951114
croston,intermittent,1,L6_State_Category,1.077401040949924
croston,intermittent,1,L7_State_Department,0.9338445728278693
croston,intermittent,1,L8_Store_Category,0.8925681362333033
croston,intermittent,1,L9_Store_Department,0.8706866974101731
croston,intermittent,1,L10_Item,0.7608728322444593
croston,intermittent,1,L11_Item_State,0.7600348390488523
croston,intermittent,1,L12_Item_Store,0.7578347387205318
croston,intermittent,2,L1_Total,0.8901087758454386
croston,intermittent,2,L2_State,1.226198064084097
croston,intermittent,2,L3_Store,1.0028771731822184
croston,intermittent,2,L4_Category,1.0068720890794103
croston,intermittent,2,L5_Department,0.9450148238362623
croston,intermittent,2,L6_State_Category,1.1430743525401557
croston,intermittent,2,L7_State_Department,1.0060127157637002
croston,intermittent,2,L8_Store_Category,0.9449901372996073
croston,intermittent,2,L9_Store_Department,0.9415185726881456
croston,intermittent,2,L10_Item,0.817144887234838
croston,intermittent,2,L11_Item_State,0.8156701217145742
croston,intermittent,2,L12_Item_Store,0.8138175954354835
croston,intermittent,3,L1_Total,1.769379748701168
croston,intermittent,3,L2_State,1.5534631394703657
croston,intermittent,3,L3_Store,1.358027313321357
croston,intermittent,3,L4_Category,1.4743956639990292
croston,intermittent,3,L5_Department,1.4043377847963956
croston,intermittent,3,L6_State_Category,1.3042619828012787
croston,intermittent,3,L7_State_Department,1.216297693939477
croston,intermittent,3,L8_Store_Category,1.148690116285795
croston,intermittent,3,L9_Store_Department,1.0694377510585076
croston,intermittent,3,L10_Item,0.8764189387534297
croston,intermittent,3,L11_Item_State,0.8747159659020363
croston,intermittent,3,L12_Item_Store,0.8749610613170598
croston,intermittent,4,L1_Total,1.3651753301610787
croston,intermittent,4,L2_State,1.2999615077436484
croston,intermittent,4,L3_Store,1.1340128524396393
croston,intermittent,4,L4_Category,1.2196160573734436
croston,intermittent,4,L5_Department,1.1360923079062382
croston,intermittent,4,L6_State_Category,1.1681087686218936
croston,intermittent,4,L7_State_Department,1.132728357202521
croston,intermittent,4,L8_Store_Category,1.0236543115844625
croston,intermittent,4,L9_Store_Department,0.9826704205128812
croston,intermittent,4,L10_Item,0.9590047436407922
croston,intermittent,4,L11_Item_State,0.9567707996590673
croston,intermittent,4,L12_Item_Store,0.929975520359847
croston,intermittent,5,L1_Total,1.4229802168767214
croston,intermittent,5,L2_State,1.484307885467686
croston,intermittent,5,L3_Store,1.3629314162111301
croston,intermittent,5,L4_Category,1.3346711820927584
croston,intermittent,5,L5_Department,1.2929890548870517
croston,intermittent,5,L6_State_Category,1.369063499690052
croston,intermittent,5,L7_State_Department,1.3175646923044766
croston,intermittent,5,L8_Store_Category,1.2094302091350098
croston,intermittent,5,L9_Store_Department,1.1626635075334142
croston,intermittent,5,L10_Item,1.065518169587972
croston,intermittent,5,L11_Item_State,1.0655482656976485
croston,intermittent,5,L12_Item_Store,1.0085523249404595
croston,lumpy,1,L1_Total,0.8433027223874164
croston,lumpy,1,L2_State,0.9753374671005792
croston,lumpy,1,L3_Store,0.9788868832428345
croston,lumpy,1,L4_Category,1.00433199856482
croston,lumpy,1,L5_Department,1.1212743281721813
croston,lumpy,1,L6_State_Category,1.0238194034984929
croston,lumpy,1,L7_State_Department,1.0716287307639434
croston,lumpy,1,L8_Store_Category,1.0392555363183775
croston,lumpy,1,L9_Store_Department,1.1152718109380746
croston,lumpy,1,L10_Item,1.1442008435856759
croston,lumpy,1,L11_Item_State,1.1312993871204946
croston,lumpy,1,L12_Item_Store,1.1297868452638506
croston,lumpy,2,L1_Total,0.836422303199263
croston,lumpy,2,L2_State,1.0535868088998182
croston,lumpy,2,L3_Store,1.184550364994233
croston,lumpy,2,L4_Category,1.1095139980109168
croston,lumpy,2,L5_Department,1.4541719099334733
croston,lumpy,2,L6_State_Category,1.1041861247150075
croston,lumpy,2,L7_State_Department,1.3052085911194404
croston,lumpy,2,L8_Store_Category,1.2599110471821284
croston,lumpy,2,L9_Store_Department,1.2669453187929207
croston,lumpy,2,L10_Item,1.2030711277419712
croston,lumpy,2,L11_Item_State,1.1986952328942575
croston,lumpy,2,L12_Item_Store,1.2023180239283682
croston,lumpy,3,L1_Total,0.9176560702335493
croston,lumpy,3,L2_State,0.9227518237202561
croston,lumpy,3,L3_Store,1.0852937644513125
croston,lumpy,3,L4_Category,0.9389909057147592
croston,lumpy,3,L5_Department,1.1302288398715625
croston,lumpy,3,L6_State_Category,0.9093048645209831
croston,lumpy,3,L7_State_Department,1.109723808191722
croston,lumpy,3,L8_Store_Category,1.0799504343556905
croston,lumpy,3,L9_Store_Department,1.129540009218687
croston,lumpy,3,L10_Item,1.1459137174417298
croston,lumpy,3,L11_Item_State,1.1414163054503783
croston,lumpy,3,L12_Item_Store,1.1348375077695212
croston,lumpy,4,L1_Total,0.8601489077329583
croston,lumpy,4,L2_State,0.9308926854184729
croston,lumpy,4,L3_Store,1.0463513997726206
croston,lumpy,4,L4_Category,0.8841411160335307
croston,lumpy,4,L5_Department,1.046950344818108
croston,lumpy,4,L6_State_Category,0.9426832843524102
croston,lumpy,4,L7_State_Department,1.089964728424663
croston,lumpy,4,L8_Store_Category,1.1521572507545454
croston,lumpy,4,L9_Store_Department,1.1714400505180191
croston,lumpy,4,L10_Item,1.0885431751693098
croston,lumpy,4,L11_Item_State,1.0888410335435794
croston,lumpy,4,L12_Item_Store,1.08773125778865
croston,lumpy,5,L1_Total,0.9149147507692625
croston,lumpy,5,L2_State,0.9459986490590251
