fold,demand_type,train_end,test_start,test_end,number_of_series,test_rows,test_days,naive_wrmsse,naive_mae
1,erratic,2016-01-03,2016-01-04,2016-01-31,200,5600,28,1.2000275966648548,4.7908928571428575
1,intermittent,2016-01-03,2016-01-04,2016-01-31,200,5600,28,0.9946662864289941,0.7148214285714286
1,lumpy,2016-01-03,2016-01-04,2016-01-31,200,5600,28,1.3337584273880658,1.7694642857142857
1,smooth,2016-01-03,2016-01-04,2016-01-31,200,5600,28,0.9393993699574197,3.6455357142857143
2,erratic,2016-01-31,2016-02-01,2016-02-28,200,5600,28,1.0220203014208564,4.539285714285715
2,intermittent,2016-01-31,2016-02-01,2016-02-28,200,5600,28,1.027196452467916,0.7439285714285714
2,lumpy,2016-01-31,2016-02-01,2016-02-28,200,5600,28,1.3142696741058852,1.833392857142857
2,smooth,2016-01-31,2016-02-01,2016-02-28,200,5600,28,0.8635600552338148,3.3189285714285712
3,erratic,2016-02-28,2016-02-29,2016-03-27,200,5600,28,0.8296404350016086,4.4592857142857145
3,intermittent,2016-02-28,2016-02-29,2016-03-27,200,5600,28,1.5582617702674915,1.1130357142857144
3,lumpy,2016-02-28,2016-02-29,2016-03-27,200,5600,28,1.2462355707116357,1.7008928571428572
3,smooth,2016-02-28,2016-02-29,2016-03-27,200,5600,28,0.7423857698754315,3.189107142857143
4,erratic,2016-03-27,2016-03-28,2016-04-24,200,5600,28,0.8372361282936016,4.414642857142857
4,intermittent,2016-03-27,2016-03-28,2016-04-24,200,5600,28,1.1512748008525853,0.9242857142857143
4,lumpy,2016-03-27,2016-03-28,2016-04-24,200,5600,28,1.168742570128051,1.7339285714285715
4,smooth,2016-03-27,2016-03-28,2016-04-24,200,5600,28,0.7667991503584133,3.3880357142857145
5,erratic,2016-04-24,2016-04-25,2016-05-22,200,5600,28,0.8609779440874287,4.048392857142857
5,intermittent,2016-04-24,2016-04-25,2016-05-22,200,5600,28,1.3468360630133427,0.97375
5,lumpy,2016-04-24,2016-04-25,2016-05-22,200,5600,28,1.2316334176354409,1.7969642857142858
5,smooth,2016-04-24,2016-04-25,2016-05-22,200,5600,28,0.7197001184577659,3.1335714285714285
