fold,demand_type,level,hierarchy_series,level_weight_share,wrmsse_contribution,invalid_scale_count,minimum_test_days,maximum_test_days,level_wrmsse,weight_difference
1,smooth,L10_Item,142,0.08333333333333333,0.09231384677836711,0,28,28,1.1077661613404055,0.0
1,smooth,L11_Item_State,180,0.08333333333333333,0.09042133573618011,0,28,28,1.0850560288341613,0.0
1,smooth,L12_Item_Store,200,0.08333333333333333,0.09117929048304366,0,28,28,1.094151485796524,0.0
1,smooth,L1_Total,1,0.08333333333333333,0.06416253079458684,0,28,28,0.769950369535042,0.0
1,smooth,L2_State,3,0.08333333333333333,0.06261331864629223,0,28,28,0.7513598237555068,0.0
1,smooth,L3_Store,10,0.08333333333333333,0.07521962705522342,0,28,28,0.902635524662681,0.0
1,smooth,L4_Category,3,0.08333333333333333,0.06928833885397219,0,28,28,0.8314600662476663,0.0
1,smooth,L5_Department,5,0.08333333333333333,0.0728760376063111,0,28,28,0.8745124512757333,0.0
1,smooth,L6_State_Category,9,0.08333333333333333,0.07338033915197331,0,28,28,0.8805640698236797,0.0
1,smooth,L7_State_Department,14,0.08333333333333333,0.07726851536947495,0,28,28,0.9272221844336994,0.0
1,smooth,L8_Store_Category,29,0.08333333333333333,0.08386124767361224,0,28,28,1.006334972083347,0.0
1,smooth,L9_Store_Department,39,0.08333333333333333,0.08681494180838262,0,28,28,1.0417793017005914,0.0
1,erratic,L10_Item,119,0.08333333333333333,0.12454666816901146,0,28,28,1.4945600180281375,0.0
1,erratic,L11_Item_State,171,0.08333333333333333,0.12567183088199219,0,28,28,1.5080619705839062,0.0
1,erratic,L12_Item_Store,200,0.08333333333333333,0.12492513827669421,0,28,28,1.4991016593203306,0.0
1,erratic,L1_Total,1,0.08333333333333333,0.08087949666273986,0,28,28,0.9705539599528783,0.0
1,erratic,L2_State,3,0.08333333333333333,0.0795165387339077,0,28,28,0.9541984648068924,0.0
1,erratic,L3_Store,10,0.08333333333333333,0.0957608961220089,0,28,28,1.1491307534641069,0.0
1,erratic,L4_Category,3,0.08333333333333333,0.08872989775992217,0,28,28,1.0647587731190662,0.0
1,erratic,L5_Department,5,0.08333333333333334,0.08827049753015029,0,28,28,1.0592459703618033,1.3877787807814457e-17
1,erratic,L6_State_Category,9,0.08333333333333333,0.08765036454457789,0,28,28,1.0518043745349348,0.0
1,erratic,L7_State_Department,15,0.08333333333333333,0.10344843751731754,0,28,28,1.2413812502078105,0.0
1,erratic,L8_Store_Category,25,0.08333333333333333,0.08824320482197132,0,28,28,1.058918457863656,0.0
1,erratic,L9_Store_Department,39,0.08333333333333333,0.11238462564456136,0,28,28,1.3486155077347364,0.0
1,intermittent,L10_Item,191,0.08333333333333333,0.08748812535043438,0,28,28,1.0498575042052125,0.0
1,intermittent,L11_Item_State,198,0.08333333333333333,0.08729141670033602,0,28,28,1.0474970004040323,0.0
1,intermittent,L12_Item_Store,200,0.08333333333333333,0.08726172703986955,0,28,28,1.0471407244784348,0.0
1,intermittent,L1_Total,1,0.08333333333333333,0.07345099414477857,0,28,28,0.8814119297373428,0.0
1,intermittent,L2_State,3,0.08333333333333333,0.07374009772513404,0,28,28,0.8848811727016085,0.0
1,intermittent,L3_Store,10,0.08333333333333333,0.07448629026142033,0,28,28,0.893835483137044,0.0
1,intermittent,L4_Category,3,0.08333333333333333,0.07996657237672557,0,28,28,0.9595988685207069,0.0
1,intermittent,L5_Department,7,0.08333333333333333,0.08234739909518306,0,28,28,0.9881687891421967,0.0
1,intermittent,L6_State_Category,9,0.08333333333333333,0.0829446681637203,0,28,28,0.9953360179646437,0.0
1,intermittent,L7_State_Department,21,0.08333333333333333,0.09178051669567548,0,28,28,1.101366200348106,0.0
1,intermittent,L8_Store_Category,30,0.08333333333333333,0.083492349742401,0,28,28,1.001908196908812,0.0
1,intermittent,L9_Store_Department,60,0.08333333333333333,0.09041612913331583,0,28,28,1.08499354959979,0.0
1,lumpy,L10_Item,182,0.08333333333333333,0.12283472288471804,0,28,28,1.4740166746166166,0.0
1,lumpy,L11_Item_State,197,0.08333333333333333,0.12236059314639665,0,28,28,1.4683271177567598,0.0
1,lumpy,L12_Item_Store,200,0.08333333333333333,0.12252047532928123,0,28,28,1.4702457039513748,0.0
1,lumpy,L1_Total,1,0.08333333333333333,0.09762273443466002,0,28,28,1.1714728132159202,0.0
1,lumpy,L2_State,3,0.08333333333333333,0.10806592756265289,0,28,28,1.2967911307518347,0.0
1,lumpy,L3_Store,10,0.08333333333333333,0.09858558860655321,0,28,28,1.1830270632786386,0.0
1,lumpy,L4_Category,3,0.08333333333333333,0.11483812239074992,0,28,28,1.378057468688999,0.0
1,lumpy,L5_Department,7,0.08333333333333334,0.12023603136095216,0,28,28,1.442832376331426,1.3877787807814457e-17
1,lumpy,L6_State_Category,9,0.08333333333333333,0.10639584042902786,0,28,28,1.2767500851483344,0.0
1,lumpy,L7_State_Department,21,0.08333333333333333,0.10747302516526054,0,28,28,1.2896763019831265,0.0
1,lumpy,L8_Store_Category,30,0.08333333333333333,0.10203968077939957,0,28,28,1.2244761693527948,0.0
1,lumpy,L9_Store_Department,59,0.08333333333333334,0.11078568529841364,0,28,28,1.3294282235809636,1.3877787807814457e-17
2,smooth,L10_Item,142,0.08333333333333333,0.0806048996415115,0,28,28,0.9672587956981381,0.0
2,smooth,L11_Item_State,180,0.08333333333333333,0.08154692017585326,0,28,28,0.9785630421102391,0.0
2,smooth,L12_Item_Store,200,0.08333333333333333,0.08194941126563508,0,28,28,0.983392935187621,0.0
2,smooth,L1_Total,1,0.08333333333333333,0.05445819270613299,0,28,28,0.6534983124735959,0.0
2,smooth,L2_State,3,0.08333333333333333,0.05822868640693318,0,28,28,0.6987442368831982,0.0
2,smooth,L3_Store,10,0.08333333333333333,0.06546769395748561,0,28,28,0.7856123274898273,0.0
2,smooth,L4_Category,3,0.08333333333333334,0.07032677340090118,0,28,28,0.8439212808108141,1.3877787807814457e-17
2,smooth,L5_Department,5,0.08333333333333334,0.07016663505080101,0,28,28,0.841999620609612,1.3877787807814457e-17
2,smooth,L6_State_Category,9,0.08333333333333333,0.0731504568317703,0,28,28,0.8778054819812435,0.0
2,smooth,L7_State_Department,14,0.08333333333333333,0.07362373166477483,0,28,28,0.883484779977298,0.0
2,smooth,L8_Store_Category,29,0.08333333333333333,0.07623774045540252,0,28,28,0.9148528854648302,0.0
2,smooth,L9_Store_Department,39,0.08333333333333333,0.07779891367661346,0,28,28,0.9335869641193615,0.0
2,erratic,L10_Item,119,0.08333333333333333,0.10477999965122901,0,28,28,1.2573599958147483,0.0
2,erratic,L11_Item_State,171,0.08333333333333333,0.10765562842624206,0,28,28,1.2918675411149048,0.0
2,erratic,L12_Item_Store,200,0.08333333333333333,0.10864007261452442,0,28,28,1.3036808713742931,0.0
2,erratic,L1_Total,1,0.08333333333333333,0.062143388311468,0,28,28,0.745720659737616,0.0
2,erratic,L2_State,3,0.08333333333333334,0.07025492184721124,0,28,28,0.8430590621665348,1.3877787807814457e-17
2,erratic,L3_Store,10,0.08333333333333333,0.08164304056043074,0,28,28,0.979716486725169,0.0
2,erratic,L4_Category,3,0.08333333333333333,0.06965042084716995,0,28,28,0.8358050501660395,0.0
2,erratic,L5_Department,5,0.08333333333333334,0.07620191454395046,0,28,28,0.9144229745274055,1.3877787807814457e-17
2,erratic,L6_State_Category,9,0.08333333333333333,0.07261548609071208,0,28,28,0.871385833088545,0.0
2,erratic,L7_State_Department,15,0.08333333333333333,0.08598350551345084,0,28,28,1.0318020661614102,0.0
2,erratic,L8_Store_Category,25,0.08333333333333333,0.07829598284947163,0,28,28,0.9395517941936596,0.0
