d,FOODS,HOBBIES,HOUSEHOLD,date,FOODS_rolling_28,HOUSEHOLD_rolling_28,HOBBIES_rolling_28
d_1,23178,3764,5689,2011-01-29,,,
d_2,22758,3357,5634,2011-01-30,,,
d_3,17174,2682,3927,2011-01-31,,,
d_4,18878,2669,3865,2011-02-01,,,
d_5,14603,1814,2729,2011-02-02,,,
d_6,22093,3220,3898,2011-02-03,,,
d_7,20490,2944,4576,2011-02-04,,,
d_8,27751,3986,6195,2011-02-05,,,
d_9,24862,2899,4975,2011-02-06,,,
d_10,18901,2615,4056,2011-02-07,,,
d_11,16963,2547,3561,2011-02-08,,,
d_12,17655,2457,3546,2011-02-09,,,
d_13,17340,2700,3716,2011-02-10,,,
d_14,19038,2822,4585,2011-02-11,,,
d_15,25187,3699,5947,2011-02-12,,,
d_16,26656,3417,6307,2011-02-13,,,
d_17,16015,2233,3556,2011-02-14,,,
d_18,17425,2554,4091,2011-02-15,,,
d_19,15351,2170,3922,2011-02-16,,,
d_20,14290,2049,3979,2011-02-17,,,
d_21,16594,2284,4843,2011-02-18,,,
d_22,20938,4142,6609,2011-02-19,,,
d_23,20028,2978,6277,2011-02-20,,,
d_24,16373,2735,4858,2011-02-21,,,
d_25,14043,2459,3999,2011-02-22,,,
d_26,13932,2758,4067,2011-02-23,,,
d_27,13733,2559,3985,2011-02-24,,,
d_28,15480,2675,4374,2011-02-25,18847.464285714286,4563.071428571428,2828.1428571428573
d_29,19905,4088,5915,2011-02-26,18730.571428571428,4571.142857142857,2839.714285714286
d_30,20660,2118,5929,2011-02-27,18655.64285714286,4581.678571428572,2795.464285714286
d_31,15066,1771,4403,2011-02-28,18580.35714285714,4598.678571428572,2762.9285714285716
d_32,16568,1833,4471,2011-03-01,18497.85714285714,4620.321428571428,2733.0714285714284
d_33,16218,1675,4153,2011-03-02,18555.535714285714,4671.178571428572,2728.1071428571427
d_34,17242,1855,4378,2011-03-03,18382.285714285714,4688.321428571428,2679.3571428571427
d_35,17512,1653,4407,2011-03-04,18275.928571428572,4682.285714285715,2633.25
d_36,23072,2096,6034,2011-03-05,18108.821428571428,4676.535714285715,2565.75
d_37,24909,3795,6172,2011-03-06,18110.5,4719.285714285715,2597.75
d_38,17588,2687,4287,2011-03-07,18063.60714285714,4727.535714285715,2600.3214285714284
d_39,16280,2519,3953,2011-03-08,18039.214285714286,4741.535714285715,2599.3214285714284
d_40,16039,2955,3566,2011-03-09,17981.5,4742.25,2617.1071428571427
d_41,16007,2686,3933,2011-03-10,17933.89285714286,4750.0,2616.6071428571427
d_42,18125,2688,4759,2011-03-11,17901.285714285714,4756.214285714285,2611.8214285714284
d_43,22545,3630,6050,2011-03-12,17806.928571428572,4759.892857142857,2609.3571428571427
d_44,22239,3282,5896,2011-03-13,17649.178571428572,4745.214285714285,2604.535714285714
d_45,17859,2500,4576,2011-03-14,17715.035714285714,4781.642857142857,2614.0714285714284
d_46,17284,2522,4215,2011-03-15,17710.0,4786.071428571428,2612.9285714285716
d_47,15685,2736,4344,2011-03-16,17721.928571428572,4801.142857142857,2633.1428571428573
d_48,15081,2434,4264,2011-03-17,17750.178571428572,4811.321428571428,2646.8928571428573
d_49,16267,2687,4901,2011-03-18,17738.5,4813.392857142857,2661.285714285714
d_50,20467,3702,6430,2011-03-19,17721.678571428572,4807.0,2645.5714285714284
d_51,20289,3174,6180,2011-03-20,17731.0,4803.535714285715,2652.5714285714284
d_52,15973,2499,4629,2011-03-21,17716.714285714286,4795.357142857143,2644.1428571428573
d_53,14176,2303,4013,2011-03-22,17721.464285714286,4795.857142857143,2638.5714285714284
d_54,13214,2384,3632,2011-03-23,17695.821428571428,4780.321428571428,2625.214285714286
d_55,12959,2347,3548,2011-03-24,17668.178571428572,4764.714285714285,2617.6428571428573
d_56,15485,3239,4626,2011-03-25,17668.35714285714,4773.714285714285,2637.785714285714
d_57,19943,3524,6153,2011-03-26,17669.714285714286,4782.214285714285,2617.6428571428573
d_58,20229,3537,6100,2011-03-27,17654.321428571428,4788.321428571428,2668.3214285714284
d_59,14704,2738,4007,2011-03-28,17641.39285714286,4774.178571428572,2702.8571428571427
d_60,13389,2388,3804,2011-03-29,17527.85714285714,4750.357142857143,2722.6785714285716
