id,full_history_type,training_only_type,match,full_ADI,full_CV2,training_ADI,training_CV2
FOODS_2_047_CA_1_evaluation,smooth,smooth,True,1.286282306163022,0.3750516164836088,1.2855103497501785,0.37795215126750603
FOODS_2_054_CA_1_evaluation,smooth,smooth,True,1.2711198428290766,0.4381935682828535,1.2745930644019816,0.43278013617827643
FOODS_2_244_CA_1_evaluation,smooth,smooth,True,1.0795328142380425,0.3324981411164954,1.080383923215357,0.3113103903874949
FOODS_2_347_CA_1_evaluation,smooth,smooth,True,1.0623973727422005,0.2533668462541156,1.0625368731563423,0.25165304257018234
FOODS_3_226_CA_1_evaluation,smooth,smooth,True,1.0188976377952756,0.271104962103055,1.019818799546999,0.2611652146315089
FOODS_3_311_CA_1_evaluation,smooth,smooth,True,1.1713940856970428,0.4690608913832791,1.167206740116656,0.47220599701874855
FOODS_3_324_CA_1_evaluation,smooth,smooth,True,1.182815356489945,0.4094937795463048,1.131992457573853,0.4109017549342017
FOODS_3_369_CA_1_evaluation,smooth,smooth,True,1.2957276368491322,0.4105206240360805,1.29568345323741,0.40798896506957677
FOODS_3_458_CA_1_evaluation,smooth,smooth,True,1.0916760404949382,0.3703282578875171,1.0988407565588774,0.3803677705667727
FOODS_3_473_CA_1_evaluation,smooth,smooth,True,1.0324468085106382,0.2904034918902923,1.0344629523262492,0.29046576584146117
FOODS_3_534_CA_1_evaluation,smooth,smooth,True,1.0789327404113396,0.3859639814768739,1.0816816816816817,0.3810750707924654
FOODS_3_562_CA_1_evaluation,smooth,smooth,True,1.203347799132052,0.3990986302116249,1.2103494623655915,0.4068900576399172
FOODS_3_577_CA_1_evaluation,smooth,smooth,True,1.3026845637583893,0.471358919598874,1.2585604472396925,0.47020526673766777
FOODS_3_586_CA_1_evaluation,smooth,smooth,True,1.0036194415718718,0.1233054985498097,1.003901895206243,0.12038201988563386
FOODS_3_694_CA_1_evaluation,smooth,smooth,True,1.0041386445938956,0.1930682016744624,1.0044617958728388,0.18275622503796832
FOODS_3_697_CA_1_evaluation,smooth,smooth,True,1.0221169036334914,0.2597995356353001,1.023877202956225,0.25587239910991416
FOODS_3_714_CA_1_evaluation,smooth,smooth,True,1.0036194415718718,0.260706148868616,1.003901895206243,0.24652360121873818
FOODS_3_730_CA_1_evaluation,smooth,smooth,True,1.2587548638132295,0.3462220598968204,1.2576815642458101,0.3447890410889455
FOODS_3_756_CA_1_evaluation,smooth,smooth,True,1.1135972461273669,0.4384174732808522,1.1221183800623054,0.4568600342851832
HOBBIES_1_134_CA_1_evaluation,smooth,smooth,True,1.2482315112540192,0.4640380296741977,1.2674173117522871,0.4567226354253088
HOBBIES_1_147_CA_1_evaluation,smooth,smooth,True,1.252258064516129,0.456975559826114,1.2754957507082152,0.46778853185677255
HOUSEHOLD_1_038_CA_1_evaluation,smooth,smooth,True,1.2138836772983117,0.3131623278429949,1.2210169491525424,0.3134835602256754
HOUSEHOLD_1_045_CA_1_evaluation,smooth,smooth,True,1.3053127101546738,0.3818972450027331,1.3126822157434401,0.3863717960160656
HOUSEHOLD_1_147_CA_1_evaluation,smooth,intermittent,False,1.310600945307225,0.435225603585408,1.3262150220913107,0.4416797107238406
HOUSEHOLD_1_196_CA_1_evaluation,smooth,smooth,True,1.239463601532567,0.4664935259523778,1.2361015785861358,0.45913113517361137
HOUSEHOLD_1_373_CA_1_evaluation,smooth,smooth,True,1.0653128430296377,0.3988500275802435,1.051371862230006,0.386838401789837
HOUSEHOLD_1_494_CA_1_evaluation,smooth,smooth,True,1.1404230317273796,0.3026445675943457,1.1500638569604087,0.3053539664421282
FOODS_2_013_CA_2_evaluation,smooth,smooth,True,1.122614227877386,0.3775369914059414,1.1284461152882206,0.36878370503899827
FOODS_2_276_CA_2_evaluation,smooth,intermittent,False,1.310600945307225,0.3344201037924362,1.3252391464311994,0.31199372214107995
FOODS_3_099_CA_2_evaluation,smooth,smooth,True,1.0480561555075594,0.3819773593352567,1.0489225393127548,0.3934744762568461
FOODS_3_226_CA_2_evaluation,smooth,smooth,True,1.0446716899892357,0.3512534058345317,1.044663573085847,0.3546757896843606
FOODS_3_377_CA_2_evaluation,smooth,smooth,True,1.0418679549114331,0.3413334198548368,1.0428488708743486,0.3393722082962077
FOODS_3_469_CA_2_evaluation,smooth,smooth,True,1.251450676982592,0.4334860585986595,1.2585604472396925,0.43267368421052615
FOODS_3_516_CA_2_evaluation,smooth,smooth,True,1.2339478703115068,0.469705915352137,1.2559274755927476,0.3900388512401189
FOODS_3_541_CA_2_evaluation,smooth,erratic,False,1.2991967871485943,0.4867300853075538,1.2818505338078292,0.4959788586340253
FOODS_3_555_CA_2_evaluation,smooth,smooth,True,1.0036194415718718,0.2298042250482542,1.003901895206243,0.23917509857863348
FOODS_3_794_CA_2_evaluation,smooth,smooth,True,1.292276964047936,0.4039841353981296,1.2910394265232974,0.3960912255506471
HOBBIES_1_004_CA_2_evaluation,smooth,smooth,True,1.1756511205330102,0.4858249402672578,1.171001300390117,0.48211430227312513
HOUSEHOLD_1_072_CA_2_evaluation,smooth,smooth,True,1.1085094231867505,0.371295538613664,1.1117283950617285,0.37252638928043674
HOUSEHOLD_1_236_CA_2_evaluation,smooth,intermittent,False,1.2974598930481285,0.3754468886246532,1.3223201174743024,0.3757158142902519
HOUSEHOLD_1_247_CA_2_evaluation,smooth,smooth,True,1.2727868852459017,0.4571159833892723,1.2782114975159689,0.4469381952701811
HOUSEHOLD_1_438_CA_2_evaluation,smooth,smooth,True,1.2661448140900196,0.3854666477291829,1.2800284292821607,0.3884805067712839
HOUSEHOLD_1_535_CA_2_evaluation,smooth,smooth,True,1.2845797485109198,0.4160576690900572,1.2994227994227994,0.3953072775180267
FOODS_2_101_CA_3_evaluation,smooth,smooth,True,1.2888446215139442,0.3151673634627775,1.28826895565093,0.3233122562568627
FOODS_2_204_CA_3_evaluation,smooth,smooth,True,1.286282306163022,0.4081772195615281,1.2928930366116296,0.42456567577589727
FOODS_2_233_CA_3_evaluation,smooth,smooth,True,1.0978506787330318,0.4067646999350865,1.0908540278619019,0.38923046847960346
