d,total_sales,date,weekday,wday,month,year,event_name_1,event_type_1,snap_CA,snap_TX,snap_WI,rolling_28_sales
d_1,32631,2011-01-29,Saturday,1,1,2011,,,0,0,0,
d_2,31749,2011-01-30,Sunday,2,1,2011,,,0,0,0,
d_3,23783,2011-01-31,Monday,3,1,2011,,,0,0,0,
d_4,25412,2011-02-01,Tuesday,4,2,2011,,,1,1,0,
d_5,19146,2011-02-02,Wednesday,5,2,2011,,,1,0,1,
d_6,29211,2011-02-03,Thursday,6,2,2011,,,1,1,1,
d_7,28010,2011-02-04,Friday,7,2,2011,,,1,0,0,
d_8,37932,2011-02-05,Saturday,1,2,2011,,,1,1,1,
d_9,32736,2011-02-06,Sunday,2,2,2011,SuperBowl,Sporting,1,1,1,
d_10,25572,2011-02-07,Monday,3,2,2011,,,1,1,0,
d_11,23071,2011-02-08,Tuesday,4,2,2011,,,1,0,1,
d_12,23658,2011-02-09,Wednesday,5,2,2011,,,1,1,1,
d_13,23756,2011-02-10,Thursday,6,2,2011,,,1,0,0,
d_14,26445,2011-02-11,Friday,7,2,2011,,,0,1,1,
d_15,34833,2011-02-12,Saturday,1,2,2011,,,0,1,1,
d_16,36380,2011-02-13,Sunday,2,2,2011,,,0,1,0,
d_17,21804,2011-02-14,Monday,3,2,2011,ValentinesDay,Cultural,0,0,1,
d_18,24070,2011-02-15,Tuesday,4,2,2011,,,0,1,1,
d_19,21443,2011-02-16,Wednesday,5,2,2011,,,0,0,0,
d_20,20318,2011-02-17,Thursday,6,2,2011,,,0,0,0,
d_21,23721,2011-02-18,Friday,7,2,2011,,,0,0,0,
d_22,31689,2011-02-19,Saturday,1,2,2011,,,0,0,0,
d_23,29283,2011-02-20,Sunday,2,2,2011,,,0,0,0,
d_24,23966,2011-02-21,Monday,3,2,2011,PresidentsDay,National,0,0,0,
d_25,20501,2011-02-22,Tuesday,4,2,2011,,,0,0,0,
d_26,20757,2011-02-23,Wednesday,5,2,2011,,,0,0,0,
d_27,20277,2011-02-24,Thursday,6,2,2011,,,0,0,0,
d_28,22529,2011-02-25,Friday,7,2,2011,,,0,0,0,26238.678571428572
