event_name_1,count,mean,median
LaborDay,5,42154.6,44525.0
OrthodoxEaster,5,41228.0,43203.0
SuperBowl,6,40924.0,40971.5
Easter,5,39517.6,38934.0
Father's day,4,36562.0,39364.5
Pesach End,6,36280.0,36594.0
Mother's day,6,36111.0,37710.0
Purim End,6,35957.0,33411.0
Eid al-Fitr,5,35267.6,34886.0
ColumbusDay,5,35164.8,33790.0
VeteransDay,5,35118.8,33338.0
Ramadan starts,5,34779.6,35402.0
EidAlAdha,5,34504.0,32967.0
PresidentsDay,6,34446.333333333336,34597.5
Cinco De Mayo,5,34411.4,35820.0
IndependenceDay,5,33710.8,36783.0
NBAFinalsEnd,5,33564.2,31698.0
ValentinesDay,6,33495.666666666664,32059.5
StPatricksDay,6,33459.666666666664,33546.5
Chanukah End,5,33426.8,35151.0
MartinLutherKingDay,5,33378.6,32706.0
OrthodoxChristmas,5,33344.2,33517.0
MemorialDay,5,32699.6,33459.0
NBAFinalsStart,5,31874.4,34922.0
LentStart,6,30727.0,29891.5
Halloween,5,30059.4,27034.0
LentWeek2,6,29747.0,29714.0
NewYear,5,25768.4,24087.0
Thanksgiving,5,21130.0,21844.0
Christmas,5,15.6,14.0
