date,total_sales
2011-01-31,88163
2011-02-28,726375
2011-03-31,763567
2011-04-30,737713
2011-05-31,719562
2011-06-30,753380
2011-07-31,819820
2011-08-31,825694
2011-09-30,813683
2011-10-31,898243
2011-11-30,823087
2011-12-31,887298
2012-01-31,893375
2012-02-29,897990
2012-03-31,986894
2012-04-30,944858
2012-05-31,997746
2012-06-30,1095609
2012-07-31,1080777
2012-08-31,1102780
2012-09-30,1064364
2012-10-31,1006308
2012-11-30,960684
2012-12-31,1030452
2013-01-31,1008560
2013-02-28,1010660
2013-03-31,1117570
2013-04-30,1034036
2013-05-31,1074683
2013-06-30,1135593
2013-07-31,1159467
2013-08-31,1204813
2013-09-30,1166515
2013-10-31,1124523
2013-11-30,1044799
2013-12-31,1054534
2014-01-31,1057012
2014-02-28,1009760
2014-03-31,1123706
2014-04-30,1104287
2014-05-31,1093092
2014-06-30,1110031
2014-07-31,1151764
2014-08-31,1184102
2014-09-30,1088414
2014-10-31,1103078
2014-11-30,1051078
2014-12-31,1013452
2015-01-31,1083115
2015-02-28,1031877
2015-03-31,1119727
2015-04-30,1093429
2015-05-31,1153014
2015-06-30,1155599
2015-07-31,1232147
2015-08-31,1254341
2015-09-30,1188913
2015-10-31,1248437
2015-11-30,1113976
2015-12-31,1126236
2016-01-31,1215286
2016-02-29,1212927
2016-03-31,1275746
2016-04-30,1283470
2016-05-31,994982
