d,CA,TX,WI,date,CA_rolling_28,TX_rolling_28,WI_rolling_28
d_1,14195,9438,8998,2011-01-29,,,
d_2,13805,9630,8314,2011-01-30,,,
d_3,10108,6778,6897,2011-01-31,,,
d_4,11047,7381,6984,2011-02-01,,,
d_5,9925,5912,3309,2011-02-02,,,
d_6,11322,9006,8883,2011-02-03,,,
d_7,12251,6226,9533,2011-02-04,,,
d_8,16610,9440,11882,2011-02-05,,,
d_9,14696,9376,8664,2011-02-06,,,
d_10,11822,7319,6431,2011-02-07,,,
d_11,10933,6224,5914,2011-02-08,,,
d_12,10350,6740,6568,2011-02-09,,,
d_13,11204,6109,6443,2011-02-10,,,
d_14,11354,7202,7889,2011-02-11,,,
d_15,14610,10081,10142,2011-02-12,,,
d_16,15630,11725,9025,2011-02-13,,,
d_17,9044,6719,6041,2011-02-14,,,
d_18,9496,7460,7114,2011-02-15,,,
d_19,8844,6606,5993,2011-02-16,,,
d_20,7835,6412,6071,2011-02-17,,,
d_21,10025,6711,6985,2011-02-18,,,
d_22,13870,9150,8669,2011-02-19,,,
d_23,13465,9789,6029,2011-02-20,,,
d_24,11997,7297,4672,2011-02-21,,,
d_25,9130,6628,4743,2011-02-22,,,
d_26,8941,5814,6002,2011-02-23,,,
d_27,8514,6175,5588,2011-02-24,,,
d_28,9847,6286,6396,2011-02-25,11459.642857142857,7629.785714285715,7149.25
d_29,13652,8586,7670,2011-02-26,11440.25,7599.357142857143,7101.821428571428
d_30,12491,9086,7130,2011-02-27,11393.32142857143,7579.928571428572,7059.535714285715
d_31,9196,6555,5489,2011-02-28,11360.75,7571.964285714285,7009.25
d_32,9782,7082,6008,2011-03-01,11315.57142857143,7561.285714285715,6974.392857142857
d_33,9537,6145,6364,2011-03-02,11301.714285714286,7569.607142857143,7083.5
d_34,9710,6639,7126,2011-03-03,11244.142857142857,7485.071428571428,7020.75
d_35,10444,6584,6544,2011-03-04,11179.607142857143,7497.857142857143,6914.0
d_36,13784,9238,8180,2011-03-05,11078.67857142857,7490.642857142857,6781.785714285715
d_37,16057,10423,8396,2011-03-06,11127.285714285714,7528.035714285715,6772.214285714285
d_38,10953,7623,5986,2011-03-07,11096.25,7538.892857142857,6756.321428571428
d_39,10299,6335,6118,2011-03-08,11073.607142857143,7542.857142857143,6763.607142857143
d_40,9951,6941,5668,2011-03-09,11059.357142857143,7550.035714285715,6731.464285714285
d_41,10012,6339,6275,2011-03-10,11016.785714285714,7558.25,6725.464285714285
d_42,11189,7203,7180,2011-03-11,11010.892857142857,7558.285714285715,6700.142857142857
d_43,13710,9271,9244,2011-03-12,10978.75,7529.357142857143,6668.071428571428
d_44,14340,9542,7535,2011-03-13,10932.67857142857,7451.392857142857,6614.857142857143
d_45,10722,7745,6468,2011-03-14,10992.607142857143,7488.035714285715,6630.107142857143
d_46,9293,7834,6894,2011-03-15,10985.357142857143,7501.392857142857,6622.25
d_47,9752,6768,6245,2011-03-16,11017.785714285714,7507.178571428572,6631.25
d_48,9504,6759,5516,2011-03-17,11077.392857142857,7519.571428571428,6611.428571428572
d_49,10030,7131,6694,2011-03-18,11077.57142857143,7534.571428571428,6601.035714285715
