demand_type,event_type_encoded,event_type_label,series_count,event_dates,mean_event_uplift_pct,median_event_uplift_pct,positive_series_pct
smooth,1,Cultural,200,36,-1.97,-3.34,41.5
smooth,2,National,200,51,-12.054,-12.541,13.5
smooth,3,Religious,200,52,0.047,-0.422,48.5
smooth,4,Sporting,200,15,9.71,4.847,63.0
smooth,5,Multiple,200,4,8.68,2.188,53.5
erratic,1,Cultural,200,36,2.288,0.795,53.5
erratic,2,National,200,51,-14.585,-14.223,14.5
erratic,3,Religious,200,52,0.071,0.338,50.5
erratic,4,Sporting,200,15,7.836,4.441,57.5
erratic,5,Multiple,200,4,19.054,10.432,54.0
intermittent,1,Cultural,200,36,4.347,-1.763,49.5
intermittent,2,National,200,51,-20.964,-19.222,18.0
intermittent,3,Religious,200,52,1.238,0.125,50.0
intermittent,4,Sporting,200,15,-10.739,-17.44,36.0
intermittent,5,Multiple,200,4,-8.275,-49.373,35.5
lumpy,1,Cultural,200,36,7.043,-1.591,48.0
lumpy,2,National,200,51,-16.981,-18.704,21.0
lumpy,3,Religious,200,52,0.719,-2.057,49.0
lumpy,4,Sporting,200,15,-5.731,-12.785,38.0
lumpy,5,Multiple,200,4,-2.893,-24.469,36.5
