fold,demand_type,manual_scale_rows,stored_scale_rows,training_start,training_end,test_start,all_scales_match,maximum_scale_difference
1,erratic,200,200,2011-01-29,2016-01-03,2016-01-04,True,0.0
1,intermittent,200,200,2011-01-29,2016-01-03,2016-01-04,True,0.0
1,lumpy,200,200,2011-01-29,2016-01-03,2016-01-04,True,0.0
1,smooth,200,200,2011-01-29,2016-01-03,2016-01-04,True,0.0
2,erratic,200,200,2011-01-29,2016-01-31,2016-02-01,True,0.0
2,intermittent,200,200,2011-01-29,2016-01-31,2016-02-01,True,0.0
2,lumpy,200,200,2011-01-29,2016-01-31,2016-02-01,True,0.0
2,smooth,200,200,2011-01-29,2016-01-31,2016-02-01,True,0.0
3,erratic,200,200,2011-01-29,2016-02-28,2016-02-29,True,0.0
3,intermittent,200,200,2011-01-29,2016-02-28,2016-02-29,True,0.0
3,lumpy,200,200,2011-01-29,2016-02-28,2016-02-29,True,0.0
3,smooth,200,200,2011-01-29,2016-02-28,2016-02-29,True,0.0
4,erratic,200,200,2011-01-29,2016-03-27,2016-03-28,True,0.0
4,intermittent,200,200,2011-01-29,2016-03-27,2016-03-28,True,0.0
4,lumpy,200,200,2011-01-29,2016-03-27,2016-03-28,True,0.0
4,smooth,200,200,2011-01-29,2016-03-27,2016-03-28,True,0.0
5,erratic,200,200,2011-01-29,2016-04-24,2016-04-25,True,0.0
5,intermittent,200,200,2011-01-29,2016-04-24,2016-04-25,True,0.0
5,lumpy,200,200,2011-01-29,2016-04-24,2016-04-25,True,0.0
5,smooth,200,200,2011-01-29,2016-04-24,2016-04-25,True,0.0
