fold,demand_type,level,grouping_columns,training_start,training_end,test_start,test_end,training_end_before_test,manual_scale_rows,stored_scale_rows,all_series_keys_match,missing_scale_patterns_match,all_scales_match,maximum_scale_difference,positive_weight_invalid_scales
1,smooth,L1_Total,Total,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,1,1,True,True,True,0.0,0
1,smooth,L2_State,state_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,3,3,True,True,True,0.0,0
1,smooth,L3_Store,store_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,10,10,True,True,True,0.0,0
1,smooth,L4_Category,cat_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,3,3,True,True,True,0.0,0
1,smooth,L5_Department,dept_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,5,5,True,True,True,0.0,0
1,smooth,L6_State_Category,state_id|cat_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,9,9,True,True,True,0.0,0
1,smooth,L7_State_Department,state_id|dept_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,14,14,True,True,True,0.0,0
1,smooth,L8_Store_Category,store_id|cat_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,29,29,True,True,True,0.0,0
1,smooth,L9_Store_Department,store_id|dept_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,39,39,True,True,True,0.0,0
1,smooth,L10_Item,item_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,142,142,True,True,True,0.0,0
1,smooth,L11_Item_State,item_id|state_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,180,180,True,True,True,0.0,0
1,smooth,L12_Item_Store,item_id|store_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,200,200,True,True,True,0.0,0
1,erratic,L1_Total,Total,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,1,1,True,True,True,0.0,0
1,erratic,L2_State,state_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,3,3,True,True,True,0.0,0
1,erratic,L3_Store,store_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,10,10,True,True,True,0.0,0
1,erratic,L4_Category,cat_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,3,3,True,True,True,0.0,0
1,erratic,L5_Department,dept_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,5,5,True,True,True,0.0,0
1,erratic,L6_State_Category,state_id|cat_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,9,9,True,True,True,0.0,0
1,erratic,L7_State_Department,state_id|dept_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,15,15,True,True,True,0.0,0
1,erratic,L8_Store_Category,store_id|cat_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,25,25,True,True,True,0.0,0
1,erratic,L9_Store_Department,store_id|dept_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,39,39,True,True,True,0.0,0
1,erratic,L10_Item,item_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,119,119,True,True,True,0.0,0
1,erratic,L11_Item_State,item_id|state_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,171,171,True,True,True,0.0,0
1,erratic,L12_Item_Store,item_id|store_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,200,200,True,True,True,0.0,0
