fold,demand_type,hierarchy_levels,all_training_periods_valid,all_series_keys_match,all_missing_patterns_match,all_scales_match,maximum_scale_difference,positive_weight_invalid_scales
1,erratic,12,True,True,True,True,0.0,0
1,intermittent,12,True,True,True,True,0.0,0
1,lumpy,12,True,True,True,True,0.0,0
1,smooth,12,True,True,True,True,0.0,0
2,erratic,12,True,True,True,True,0.0,0
2,intermittent,12,True,True,True,True,0.0,0
2,lumpy,12,True,True,True,True,0.0,0
2,smooth,12,True,True,True,True,0.0,0
3,erratic,12,True,True,True,True,0.0,0
3,intermittent,12,True,True,True,True,0.0,0
3,lumpy,12,True,True,True,True,0.0,0
3,smooth,12,True,True,True,True,0.0,0
4,erratic,12,True,True,True,True,0.0,0
4,intermittent,12,True,True,True,True,0.0,0
4,lumpy,12,True,True,True,True,0.0,0
4,smooth,12,True,True,True,True,0.0,0
5,erratic,12,True,True,True,True,0.0,0
5,intermittent,12,True,True,True,True,0.0,0
5,lumpy,12,True,True,True,True,0.0,0
5,smooth,12,True,True,True,True,0.0,0
