fold,demand_type,train_end,test_start,test_end,training_rows,selected_rounds,xgb_wrmsse,naive_wrmsse,wrmsse_difference,wrmsse_improvement_percentage,xgb_mae,naive_mae,mae_difference,mae_improvement_percentage,xgb_rmse,naive_rmse,rmse_difference,rmse_improvement_percentage,actual_mean,prediction_mean,minimum_prediction,maximum_prediction,naive_reproduction_difference,xgb_better_hierarchy_levels,training_seconds,prediction_seconds,model_file
1,erratic,2016-01-03,2016-01-04,2016-01-31,349000,970,1.053686498862462,1.2000275966648548,0.1463410978023929,12.194811036771783,3.6398300050257397,4.7908928571428575,1.1510628521171178,24.02606124662067,6.2760180595825465,7.7903901424401445,1.514372082857598,19.438976163820968,5.907321428571429,5.100981422622712,0.0001937847991939634,36.57365798950195,4.440892098500626e-16,12,10.767970200162381,0.2326448999810964,models\step16\xgb_fold1_erratic.ubj
1,intermittent,2016-01-03,2016-01-04,2016-01-31,349000,1250,1.3511163744898909,0.9946662864289941,-0.35645008806089673,-35.836148557985986,0.5731240702127075,0.7148214285714286,0.1416973583587211,19.822763097897532,1.1510511400894312,1.3590306419335385,0.2079795018441073,15.30351821561638,0.6833928571428571,0.33710775674589755,3.230812239962688e-07,7.386550426483154,5.551115123125783e-16,4,12.230474999872968,0.24465540004894137,models\step16\xgb_fold1_intermittent.ubj
1,lumpy,2016-01-03,2016-01-04,2016-01-31,349000,840,1.5328833825829777,1.3337584273880658,-0.1991249551949119,-14.92961177271536,1.470910811946534,1.7694642857142857,0.29855347376775176,16.872534595816024,3.0225492063804156,3.4549395281042394,0.43239032172382386,12.515134294147279,1.7066071428571428,0.9954270990866124,0.00031290389597415924,7.614806652069092,8.881784197001252e-16,4,8.066602899925783,0.22093679988756776,models\step16\xgb_fold1_lumpy.ubj
1,smooth,2016-01-03,2016-01-04,2016-01-31,349000,560,0.7501394719981866,0.9393993699574197,0.18925989795923304,20.146904927966013,2.6929001325801747,3.6455357142857143,0.9526355817055396,26.13156628729376,4.8039447513071085,6.17305492789892,1.3691101765918114,22.178810857557135,5.650535714285715,5.002963196908328,0.00016312077059410512,49.767433166503906,2.220446049250313e-16,12,5.993689599912614,0.24587360001169145,models\step16\xgb_fold1_smooth.ubj
2,erratic,2016-01-31,2016-02-01,2016-02-28,354600,175,0.8291958060842349,1.0220203014208564,0.1928244953366215,18.866992668203224,3.695783122062151,4.539285714285715,0.8435025922235635,18.582275831833027,5.842284595627961,7.409284715814341,1.5670001201863792,21.149141655223236,6.324285714285714,5.930840715731361,0.24770931899547577,57.36983108520508,6.661338147750939e-16,11,2.0133042000234127,0.18965660012327135,models\step16\xgb_fold2_erratic.ubj
2,intermittent,2016-01-31,2016-02-01,2016-02-28,354600,160,1.0218956972939486,1.027196452467916,0.005300755173967442,0.5160410319985026,0.640637954418032,0.7439285714285714,0.10329061701053943,13.884480443087394,1.141953024173127,1.4172407800269609,0.2752877558538338,19.424205098628118,0.7685714285714286,0.5716627237773667,0.005297218449413776,8.859356880187988,6.661338147750939e-16,6,1.7129202000796795,0.19869439979083836,models\step16\xgb_fold2_intermittent.ubj
2,lumpy,2016-01-31,2016-02-01,2016-02-28,354600,170,1.2107046161664914,1.3142696741058852,0.10356505793939386,7.88004623250936,1.5325608317420951,1.833392857142857,0.3008320254007619,16.40848682423558,2.778610198394265,3.63305754741886,0.854447349024595,23.518684685620936,1.7116071428571429,1.4366490662776465,0.02115761674940586,15.297661781311035,2.220446049250313e-16,8,1.7383471000939608,0.18942469987086952,models\step16\xgb_fold2_lumpy.ubj
2,smooth,2016-01-31,2016-02-01,2016-02-28,354600,310,0.6419646042932107,0.8635600552338148,0.22159545094060418,25.660687939138832,2.6420660869959725,3.3189285714285712,0.6768624844325988,20.394005772207862,4.25606273011774,5.315711214342415,1.0596484842246756,19.934274859883644,6.122142857142857,5.699444269385879,0.0022245352156460285,60.36362075805664,5.551115123125783e-16,12,3.291370499879122,0.24329600017517805,models\step16\xgb_fold2_smooth.ubj
3,erratic,2016-02-28,2016-02-29,2016-03-27,360200,440,0.7195213314918285,0.8296404350016086,0.11011910350978005,13.273111924633534,3.59520346833842,4.4592857142857145,0.8640822459472943,19.377144711296044,5.562652483634007,7.07659623588306,1.5139437522490526,21.393671502301466,6.167857142857143,6.628770803539581,0.00988056045025587,61.187862396240234,3.3306690738754696e-16,12,4.968697700183839,0.23226570012047887,models\step16\xgb_fold3_erratic.ubj
3,intermittent,2016-02-28,2016-02-29,2016-03-27,360200,850,1.4719849620735102,1.5582617702674915,0.08627680819398131,5.536733932654397,0.985054651912547,1.1130357142857144,0.1279810623731673,11.498378778914438,3.6384348279935064,3.802795024715374,0.16436019672186752,4.322089296258331,1.050892857142857,0.6758977481233419,7.322368037421256e-05,10.27719783782959,0.0,9,9.302220500074327,0.22392160003073514,models\step16\xgb_fold3_intermittent.ubj
