demand_type,level,folds,mean_naive_level_wrmsse,mean_xgb_level_wrmsse,xgb_better_folds,mean_level_wrmsse_difference
smooth,L1_Total,5,0.5909356556094709,0.4838839466971992,4,0.10705170891227173
smooth,L2_State,5,0.6351416042470552,0.5399253385736081,4,0.0952162656734471
smooth,L3_Store,5,0.7686227786888206,0.6322082220701011,5,0.13641455661871948
smooth,L4_Category,5,0.6948551622932088,0.5517137118039683,5,0.14314145048924043
smooth,L5_Department,5,0.7276504714664245,0.5751914545231911,5,0.15245901694323338
smooth,L6_State_Category,5,0.7623514483866771,0.6150144850302874,5,0.14733696335638968
smooth,L7_State_Department,5,0.7909692331512626,0.6354067785902127,5,0.1555624545610499
smooth,L8_Store_Category,5,0.8661053476633913,0.6780806625069723,5,0.188024685156419
smooth,L9_Store_Department,5,0.8913668770945392,0.6939287388160315,5,0.19743813827850776
smooth,L10_Item,5,0.977542845161025,0.7351019461696009,5,0.24244089899142407
smooth,L11_Item_State,5,0.9827854896266356,0.7450183426240586,5,0.23776714700257695
smooth,L12_Item_Store,5,0.9880997999303188,0.7463526566389026,5,0.24174714329141622
erratic,L1_Total,5,0.6879854725358696,0.5550808376071213,5,0.13290463492874827
erratic,L2_State,5,0.77740065314049,0.6406842254305806,5,0.13671642770990944
erratic,L3_Store,5,0.9212098138139192,0.7806084607779493,5,0.14060135303596988
erratic,L4_Category,5,0.7593018202358713,0.6379573118836638,4,0.12134450835220756
erratic,L5_Department,5,0.8057438570608841,0.6697866641933178,4,0.13595719286756636
erratic,L6_State_Category,5,0.8391492973231355,0.7039504425300483,5,0.13519885479308713
erratic,L7_State_Department,5,0.9523605621630896,0.8259475025815822,5,0.1264130595815074
erratic,L8_Store_Category,5,0.9237679423160383,0.8096282478769796,4,0.11413969443905869
erratic,L9_Store_Department,5,1.1035655191919953,0.931470184881228,5,0.1720953343107673
erratic,L10_Item,5,1.1854923086295563,0.9742995797761369,5,0.21119272885341944
erratic,L11_Item_State,5,1.2186469101130948,0.995245923331775,5,0.2234009867813198
erratic,L12_Item_Store,5,1.225141616600097,1.0006494237868067,5,0.22449219281329036
intermittent,L1_Total,5,1.2643514685774233,1.803244263047921,1,-0.5388927944704978
intermittent,L2_State,5,1.2879817697305447,1.5169010394705262,1,-0.22891926973998156
intermittent,L3_Store,5,1.2037323563188715,1.2290797195091554,3,-0.025347363190283856
intermittent,L4_Category,5,1.2269746480176043,1.498689122113235,1,-0.27171447409563076
intermittent,L5_Department,5,1.2633357403083125,1.325792885528149,3,-0.06245714521983636
intermittent,L6_State_Category,5,1.2578342269503406,1.2756879404549093,3,-0.017853713504568658
intermittent,L7_State_Department,5,1.2693806182652885,1.1578624553726828,4,0.11151816289260563
intermittent,L8_Store_Category,5,1.1998333184892114,1.0576193074838067,4,0.14221401100540465
intermittent,L9_Store_Department,5,1.2080348163595533,1.0043907347319467,5,0.2036440816276066
intermittent,L10_Item,5,1.137659338258577,0.8874435461365959,5,0.250215792121981
intermittent,L11_Item_State,5,1.1371695118845921,0.8855107178520285,5,0.25165879403256364
intermittent,L12_Item_Store,5,1.1314770821124724,0.8722334675693311,5,0.2592436145431414
lumpy,L1_Total,5,0.9255282899176229,1.1860975668255214,2,-0.26056927690789844
lumpy,L2_State,5,1.083663869812579,1.1081804598738574,2,-0.024516590061278487
lumpy,L3_Store,5,1.2370327590958612,1.084735085684267,4,0.15229767341159417
lumpy,L4_Category,5,1.1049826107596281,1.2322470903106546,2,-0.1272644795510265
lumpy,L5_Department,5,1.3406875623367331,1.2245778381507377,4,0.11610972418599541
lumpy,L6_State_Category,5,1.1621654304325175,1.1118402036216435,2,0.050325226810874035
lumpy,L7_State_Department,5,1.347346034075781,1.1385413582451958,4,0.20880467583058526
lumpy,L8_Store_Category,5,1.3164031930822633,1.1089210534276743,4,0.20748213965458895
lumpy,L9_Store_Department,5,1.3929301161538834,1.1289405974170355,5,0.26398951873684795
lumpy,L10_Item,5,1.4027542271209499,1.0741109022453874,5,0.32864332487556247
lumpy,L11_Item_State,5,1.3953239180109331,1.0657875275901998,5,0.32953639042073335
lumpy,L12_Item_Store,5,1.3983171731270363,1.0661853561923444,5,0.33213181693469185
