fold,demand_type,fit_train_end,validation_start,validation_end,training_rows,selection_max_rounds,coarse_best_rounds,selected_rounds,selected_wrmsse,selected_mae,selected_rmse,selected_prediction_mean,coarse_boundary,refinement_boundary,refinement_expansions,selection_valid,selection_training_seconds,selection_evaluation_seconds,checkpoints_evaluated
1,erratic,2015-12-06,2015-12-07,2016-01-03,343400,1500,1000,970,0.9018636333722324,3.5970055048753697,6.0826865486019575,5.511475673220736,False,False,0,True,15.720408600056544,19.765538700623438,38
1,intermittent,2015-12-06,2015-12-07,2016-01-03,343400,1500,1300,1250,0.7316778709189689,0.6354203629709332,1.0876803424159927,0.6570618720982789,False,False,1,True,14.533929700031877,23.62520180013962,43
1,lumpy,2015-12-06,2015-12-07,2016-01-03,343400,1500,850,840,0.9101484770675539,1.2760550879160535,2.4332979451521846,1.313819470534668,False,False,0,True,15.468522999901325,20.05453409999609,37
1,smooth,2015-12-06,2015-12-07,2016-01-03,343400,1500,600,560,0.7181281500066509,2.559631523137604,4.2535059675287,5.449877428687599,False,False,0,True,17.101128600072116,18.78781979950145,37
2,erratic,2016-01-03,2016-01-04,2016-01-31,349000,1500,175,175,0.7428757572472464,3.567975030882018,5.649265211772027,5.728201926446387,False,False,0,True,16.144098500022665,19.734361400362104,38
2,intermittent,2016-01-03,2016-01-04,2016-01-31,349000,1500,150,160,0.9445172093003883,0.5865639275739003,1.039830868181951,0.5164194721576392,False,False,0,True,14.9676396001596,19.147157000377774,37
2,lumpy,2016-01-03,2016-01-04,2016-01-31,349000,1500,150,170,1.2422489605655198,1.4441799084908729,2.804392170514288,1.2304507103259674,False,False,0,True,17.44849929981865,22.913964800303802,37
2,smooth,2016-01-03,2016-01-04,2016-01-31,349000,1500,300,310,0.6731201531627391,2.68199215340374,4.747960441559568,5.220397619170627,False,False,0,True,15.286744500044733,19.551085599930957,37
3,erratic,2016-01-31,2016-02-01,2016-02-28,354600,1500,400,440,0.7092176126425922,3.737202176276062,5.793303125170863,6.436501051682447,False,False,0,True,15.370477699907497,19.11214090161957,37
3,intermittent,2016-01-31,2016-02-01,2016-02-28,354600,1500,850,850,0.9882599481541646,0.632743076653467,1.1346347618326595,0.5906384364312434,False,False,0,True,14.58231640001759,19.20169400051236,37
3,lumpy,2016-01-31,2016-02-01,2016-02-28,354600,1500,400,390,1.0645401056702517,1.5804881142167972,2.85080371727262,1.6121924087633046,False,False,0,True,15.36397649999708,19.037940599024296,37
3,smooth,2016-01-31,2016-02-01,2016-02-28,354600,1500,400,400,0.6197447709159013,2.640432453473872,4.23890661120179,5.808604175181369,False,False,0,True,18.48121319990605,18.99732229928486,37
4,erratic,2016-02-28,2016-02-29,2016-03-27,360200,1500,150,150,0.6842957138601682,3.496768900783999,5.492722726429298,6.19036710887083,False,False,0,True,15.01223019999452,18.590487000066787,37
4,intermittent,2016-02-28,2016-02-29,2016-03-27,360200,1500,800,810,1.4496631021332842,0.9872312857066027,3.640721273577783,0.6893857815342537,False,False,0,True,14.624869600171223,18.96827309927903,37
4,lumpy,2016-02-28,2016-02-29,2016-03-27,360200,1500,350,380,0.9088564221242321,1.388379753940639,2.3372758994299563,1.5947748503383317,False,False,0,True,14.927422599866986,18.874229499837384,37
4,smooth,2016-02-28,2016-02-29,2016-03-27,360200,1500,400,400,0.6185225190336855,2.5240623922031955,3.9103469998398515,5.990603812900808,False,False,0,True,15.319276900030673,18.842528999317437,37
5,erratic,2016-03-27,2016-03-28,2016-04-24,365800,1500,150,150,0.6447701367353782,3.4879937971622814,5.359453992391577,5.9135049698422,False,False,0,True,17.553972500143573,18.160963298287243,37
5,intermittent,2016-03-27,2016-03-28,2016-04-24,365800,1500,450,460,0.9126538243965043,0.757152146965257,1.5865704333097423,0.9631392943451231,False,False,0,True,17.063856299966574,17.736386300530285,37
5,lumpy,2016-03-27,2016-03-28,2016-04-24,365800,1500,450,450,0.8461551692090497,1.405077241514269,2.5418613548224163,1.5837696099741567,False,False,0,True,16.09616920002736,17.18043199996464,37
5,smooth,2016-03-27,2016-03-28,2016-04-24,365800,1500,175,185,0.5242060973267256,2.6014792223615224,4.168793955029658,5.9382742404919036,False,False,0,True,18.309103900101036,19.10038759978488,38
