boosting_rounds,wrmsse,mae,rmse,actual_mean,prediction_mean,minimum_prediction,maximum_prediction,non_finite_predictions,negative_predictions,prediction_rows,evaluation_seconds,fold,demand_type,stage,fit_train_end,validation_start,validation_end
25,1.1428897476949167,4.042521809424673,6.560838333254062,5.529642857142857,5.364808688419206,0.7702376246452332,22.07474708557129,0,0,5600,0.522391099948436,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
50,1.0945585913639047,3.7220480960713966,6.186888744363521,5.529642857142857,5.0399842161898105,0.2173096388578415,34.74419403076172,0,0,5600,0.469959800131619,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
75,1.0800658923074677,3.642741763452068,6.095458108908943,5.529642857142857,4.956027320057952,0.050205592066049576,41.25034713745117,0,0,5600,0.48296880000270903,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
100,1.00966848997714,3.611158536709845,6.047801095154071,5.529642857142857,5.026945250071585,0.033067259937524796,43.653648376464844,0,0,5600,0.5020922000985593,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
125,0.9860260644319285,3.587223348401354,6.035698661822897,5.529642857142857,5.067255501928739,0.01919381506741047,46.09809875488281,0,0,5600,0.49319130019284785,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
150,0.9667367767143338,3.5848444638116885,6.02597005381531,5.529642857142857,5.116598225517498,0.013514581136405468,47.1063117980957,0,0,5600,0.4702235998120159,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
175,0.96073273455639,3.5880254374735525,6.041036015066481,5.529642857142857,5.162596156672808,0.009298451244831085,46.895450592041016,0,0,5600,0.4793843000661582,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
200,0.9401399512707783,3.5659008396791925,6.026115792701024,5.529642857142857,5.1669404275957325,0.005489980336278677,47.26081085205078,0,0,5600,0.4949358000885695,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
250,0.93720802558629,3.5769747499559474,6.038067621206935,5.529642857142857,5.245388914010421,0.0028039594180881977,46.6109733581543,0,0,5600,0.4907202001195401,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
300,0.9168392281488122,3.568163002428025,6.032002543463243,5.529642857142857,5.310153810789966,0.001393818878568709,48.182273864746094,0,0,5600,0.49292799993418157,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
350,0.9246163733177657,3.5764676076602337,6.066528055917909,5.529642857142857,5.297763002377749,0.0007016683812253177,48.449798583984375,0,0,5600,0.4664745000191033,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
400,0.934133772739529,3.585956860727092,6.100114874284457,5.529642857142857,5.310862902796788,0.0005269880639389157,50.87026596069336,0,0,5600,0.4970134000759572,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
450,0.9132978530011474,3.592237531916409,6.075150455324715,5.529642857142857,5.387973257485948,0.00031603153911419213,51.15479278564453,0,0,5600,0.5145453999284655,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
500,0.9103154579882085,3.5988312148475026,6.081370799895071,5.529642857142857,5.4314163725411655,0.00018031473155133426,50.81111526489258,0,0,5600,0.5022279000841081,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
550,0.9076390961641241,3.610167577715973,6.105426313742399,5.529642857142857,5.471729720982506,0.00011757902393583208,51.444549560546875,0,0,5600,0.4980705000925809,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
600,0.9025570383527668,3.612461054621008,6.099039644216502,5.529642857142857,5.493047637321996,6.732994370395318e-05,50.77449417114258,0,0,5600,0.5046218999195844,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
650,0.9088384262692502,3.606424615110374,6.1064278911955805,5.529642857142857,5.484900722681748,3.1556606700178236e-05,50.43232727050781,0,0,5600,0.518507500179112,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
700,0.9115423478467378,3.6033613687167847,6.102184131890817,5.529642857142857,5.477808625280844,2.5014616767293774e-05,50.542877197265625,0,0,5600,0.5414291999768466,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
750,0.9045221865610313,3.6008050763451385,6.105273558232727,5.529642857142857,5.501265179671116,1.7811655197874643e-05,51.23982238769531,0,0,5600,0.5636712000705302,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
800,0.9040023723021311,3.599080722629001,6.095723439026894,5.529642857142857,5.495959243321565,1.4568343431164976e-05,48.93720626831055,0,0,5600,0.5357824999373406,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
850,0.9077344386470255,3.5953283589282443,6.09089658784988,5.529642857142857,5.49812252894871,1.045968383550644e-05,47.54265594482422,0,0,5600,0.5144988999236375,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
900,0.9061778222501987,3.599918033512533,6.09832288258599,5.529642857142857,5.5007701266298055,7.058079063426703e-06,48.243507385253906,0,0,5600,0.5578954999800771,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
950,0.9028684308861971,3.599405698756548,6.094441788401529,5.529642857142857,5.50450786963878,5.809517006127862e-06,49.294105529785156,0,0,5600,0.572310599964112,1,erratic,coarse,2015-12-06,2015-12-07,2016-01-03
960,0.9031897392171133,3.6002714665659115,6.094606617670555,5.529642857142857,5.511255760561538,5.987457825540332e-06,49.379150390625,0,0,5600,0.5375431999564171,1,erratic,refined,2015-12-06,2015-12-07,2016-01-03
970,0.9018636333722324,3.5970055048753697,6.0826865486019575,5.529642857142857,5.511475673220736,5.059270279161865e-06,48.49448776245117,0,0,5600,0.5171848000027239,1,erratic,refined,2015-12-06,2015-12-07,2016-01-03
980,0.9024038513284386,3.600815361366383,6.097838016909263,5.529642857142857,5.511040966916917,5.164042249816703e-06,48.477115631103516,0,0,5600,0.5388734000734985,1,erratic,refined,2015-12-06,2015-12-07,2016-01-03
990,0.9020712354430412,3.5971220139230744,6.087192897820563,5.529642857142857,5.50539435440975,4.875857939623529e-06,48.484073638916016,0,0,5600,0.5366093998309225,1,erratic,refined,2015-12-06,2015-12-07,2016-01-03
