level,hierarchy_series,level_weight_share,naive_level_wrmsse,naive_wrmsse_contribution,xgb_level_wrmsse,xgb_wrmsse_contribution,fold,demand_type,level_wrmsse_difference,xgb_better
L10_Item,119,0.08333333333333333,1.4945600180281375,0.12454666816901146,1.3705263018236566,0.11421052515197139,1,erratic,0.12403371620448089,True
L11_Item_State,171,0.08333333333333333,1.5080619705839062,0.12567183088199219,1.3736540281959901,0.1144711690163325,1,erratic,0.1344079423879161,True
L12_Item_Store,200,0.08333333333333333,1.4991016593203306,0.12492513827669421,1.373451551530601,0.11445429596088341,1,erratic,0.12565010778972963,True
L1_Total,1,0.08333333333333333,0.9705539599528783,0.08087949666273986,0.728100707138961,0.06067505892824675,1,erratic,0.24245325281391727,True
L2_State,3,0.08333333333333333,0.9541984648068924,0.0795165387339077,0.7562487332442913,0.06302072777035761,1,erratic,0.1979497315626011,True
L3_Store,10,0.08333333333333333,1.1491307534641069,0.0957608961220089,0.8843145419346046,0.07369287849455038,1,erratic,0.2648162115295023,True
L4_Category,3,0.08333333333333333,1.0647587731190662,0.08872989775992217,0.9195330418201009,0.0766277534850084,1,erratic,0.14522573129896532,True
L5_Department,5,0.08333333333333334,1.0592459703618033,0.08827049753015029,0.907259475737398,0.07560495631144984,1,erratic,0.1519864946244054,True
L6_State_Category,9,0.08333333333333333,1.0518043745349348,0.08765036454457789,0.8974653569553072,0.0747887797462756,1,erratic,0.15433901757962765,True
L7_State_Department,15,0.08333333333333333,1.2413812502078105,0.10344843751731754,1.1641767212281373,0.09701472676901143,1,erratic,0.07720452897967323,True
L8_Store_Category,25,0.08333333333333333,1.058918457863656,0.08824320482197132,0.9676929474931134,0.08064107895775945,1,erratic,0.0912255103705425,True
L9_Store_Department,39,0.08333333333333333,1.3486155077347364,0.11238462564456136,1.3018145792473836,0.1084845482706153,1,erratic,0.04680092848735273,True
L10_Item,191,0.08333333333333333,1.0498575042052125,0.08748812535043438,0.8414970801713576,0.07012475668094646,1,intermittent,0.2083604240338549,True
