fold,demand_type,ablation_name,removed_feature_group,removed_features,removed_feature_count,retained_feature_count,selected_rounds,train_end,test_start,test_end,full_xgb_wrmsse,full_xgb_mae,full_xgb_rmse
1,erratic,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,970,2016-01-03,2016-01-04,2016-01-31,1.053686498862462,3.63983000502574,6.2760180595825465
1,erratic,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,970,2016-01-03,2016-01-04,2016-01-31,1.053686498862462,3.63983000502574,6.2760180595825465
1,erratic,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,970,2016-01-03,2016-01-04,2016-01-31,1.053686498862462,3.63983000502574,6.2760180595825465
1,erratic,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,970,2016-01-03,2016-01-04,2016-01-31,1.053686498862462,3.63983000502574,6.2760180595825465
1,erratic,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,970,2016-01-03,2016-01-04,2016-01-31,1.053686498862462,3.63983000502574,6.2760180595825465
1,intermittent,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,1250,2016-01-03,2016-01-04,2016-01-31,1.3511163744898909,0.5731240702127075,1.1510511400894312
1,intermittent,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,1250,2016-01-03,2016-01-04,2016-01-31,1.3511163744898909,0.5731240702127075,1.1510511400894312
1,intermittent,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,1250,2016-01-03,2016-01-04,2016-01-31,1.3511163744898909,0.5731240702127075,1.1510511400894312
1,intermittent,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,1250,2016-01-03,2016-01-04,2016-01-31,1.3511163744898909,0.5731240702127075,1.1510511400894312
1,intermittent,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,1250,2016-01-03,2016-01-04,2016-01-31,1.3511163744898909,0.5731240702127075,1.1510511400894312
1,lumpy,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,840,2016-01-03,2016-01-04,2016-01-31,1.5328833825829775,1.470910811946534,3.022549206380416
1,lumpy,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,840,2016-01-03,2016-01-04,2016-01-31,1.5328833825829775,1.470910811946534,3.022549206380416
1,lumpy,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,840,2016-01-03,2016-01-04,2016-01-31,1.5328833825829775,1.470910811946534,3.022549206380416
1,lumpy,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,840,2016-01-03,2016-01-04,2016-01-31,1.5328833825829775,1.470910811946534,3.022549206380416
1,lumpy,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,840,2016-01-03,2016-01-04,2016-01-31,1.5328833825829775,1.470910811946534,3.022549206380416
1,smooth,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,560,2016-01-03,2016-01-04,2016-01-31,0.7501394719981866,2.6929001325801747,4.8039447513071085
1,smooth,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,560,2016-01-03,2016-01-04,2016-01-31,0.7501394719981866,2.6929001325801747,4.8039447513071085
1,smooth,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,560,2016-01-03,2016-01-04,2016-01-31,0.7501394719981866,2.6929001325801747,4.8039447513071085
1,smooth,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,560,2016-01-03,2016-01-04,2016-01-31,0.7501394719981866,2.6929001325801747,4.8039447513071085
1,smooth,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,560,2016-01-03,2016-01-04,2016-01-31,0.7501394719981866,2.6929001325801747,4.8039447513071085
2,erratic,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,175,2016-01-31,2016-02-01,2016-02-28,0.8291958060842349,3.695783122062151,5.842284595627961
2,erratic,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,175,2016-01-31,2016-02-01,2016-02-28,0.8291958060842349,3.695783122062151,5.842284595627961
2,erratic,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,175,2016-01-31,2016-02-01,2016-02-28,0.8291958060842349,3.695783122062151,5.842284595627961
2,erratic,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,175,2016-01-31,2016-02-01,2016-02-28,0.8291958060842349,3.695783122062151,5.842284595627961
2,erratic,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,175,2016-01-31,2016-02-01,2016-02-28,0.8291958060842349,3.695783122062151,5.842284595627961
2,intermittent,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,160,2016-01-31,2016-02-01,2016-02-28,1.0218956972939486,0.640637954418032,1.141953024173127
2,intermittent,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,160,2016-01-31,2016-02-01,2016-02-28,1.0218956972939486,0.640637954418032,1.141953024173127
2,intermittent,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,160,2016-01-31,2016-02-01,2016-02-28,1.0218956972939486,0.640637954418032,1.141953024173127
2,intermittent,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,160,2016-01-31,2016-02-01,2016-02-28,1.0218956972939486,0.640637954418032,1.141953024173127
2,intermittent,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,160,2016-01-31,2016-02-01,2016-02-28,1.0218956972939486,0.640637954418032,1.141953024173127
2,lumpy,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,170,2016-01-31,2016-02-01,2016-02-28,1.2107046161664914,1.5325608317420951,2.778610198394265
2,lumpy,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,170,2016-01-31,2016-02-01,2016-02-28,1.2107046161664914,1.5325608317420951,2.778610198394265
2,lumpy,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,170,2016-01-31,2016-02-01,2016-02-28,1.2107046161664914,1.5325608317420951,2.778610198394265
2,lumpy,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,170,2016-01-31,2016-02-01,2016-02-28,1.2107046161664914,1.5325608317420951,2.778610198394265
2,lumpy,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,170,2016-01-31,2016-02-01,2016-02-28,1.2107046161664914,1.5325608317420951,2.778610198394265
2,smooth,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,310,2016-01-31,2016-02-01,2016-02-28,0.6419646042932107,2.6420660869959725,4.25606273011774
2,smooth,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,310,2016-01-31,2016-02-01,2016-02-28,0.6419646042932107,2.6420660869959725,4.25606273011774
2,smooth,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,310,2016-01-31,2016-02-01,2016-02-28,0.6419646042932107,2.6420660869959725,4.25606273011774
2,smooth,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,310,2016-01-31,2016-02-01,2016-02-28,0.6419646042932107,2.6420660869959725,4.25606273011774
2,smooth,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,310,2016-01-31,2016-02-01,2016-02-28,0.6419646042932107,2.6420660869959725,4.25606273011774
3,erratic,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,440,2016-02-28,2016-02-29,2016-03-27,0.7195213314918285,3.59520346833842,5.562652483634007
3,erratic,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,440,2016-02-28,2016-02-29,2016-03-27,0.7195213314918285,3.59520346833842,5.562652483634007
3,erratic,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,440,2016-02-28,2016-02-29,2016-03-27,0.7195213314918285,3.59520346833842,5.562652483634007
3,erratic,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,440,2016-02-28,2016-02-29,2016-03-27,0.7195213314918285,3.59520346833842,5.562652483634007
3,erratic,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,440,2016-02-28,2016-02-29,2016-03-27,0.7195213314918285,3.59520346833842,5.562652483634007
3,intermittent,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,850,2016-02-28,2016-02-29,2016-03-27,1.4719849620735102,0.985054651912547,3.6384348279935055
3,intermittent,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,850,2016-02-28,2016-02-29,2016-03-27,1.4719849620735102,0.985054651912547,3.6384348279935055
3,intermittent,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,850,2016-02-28,2016-02-29,2016-03-27,1.4719849620735102,0.985054651912547,3.6384348279935055
3,intermittent,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,850,2016-02-28,2016-02-29,2016-03-27,1.4719849620735102,0.985054651912547,3.6384348279935055
3,intermittent,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,850,2016-02-28,2016-02-29,2016-03-27,1.4719849620735102,0.985054651912547,3.6384348279935055
3,lumpy,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,390,2016-02-28,2016-02-29,2016-03-27,0.9095788029337192,1.387373863011765,2.334650063047163
3,lumpy,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,390,2016-02-28,2016-02-29,2016-03-27,0.9095788029337192,1.387373863011765,2.334650063047163
3,lumpy,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,390,2016-02-28,2016-02-29,2016-03-27,0.9095788029337192,1.387373863011765,2.334650063047163
3,lumpy,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,390,2016-02-28,2016-02-29,2016-03-27,0.9095788029337192,1.387373863011765,2.334650063047163
3,lumpy,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,390,2016-02-28,2016-02-29,2016-03-27,0.9095788029337192,1.387373863011765,2.334650063047163
3,smooth,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,400,2016-02-28,2016-02-29,2016-03-27,0.6185225190336855,2.5240623922031955,3.910346999839852
3,smooth,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,400,2016-02-28,2016-02-29,2016-03-27,0.6185225190336855,2.5240623922031955,3.910346999839852
3,smooth,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,400,2016-02-28,2016-02-29,2016-03-27,0.6185225190336855,2.5240623922031955,3.910346999839852
3,smooth,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,400,2016-02-28,2016-02-29,2016-03-27,0.6185225190336855,2.5240623922031955,3.910346999839852
