demand_type,removed_feature_group,mean_delta_wrmsse,wrmsse_change_from_mean_scores_percentage,median_delta_wrmsse,folds_removal_worsened_wrmsse,folds_removal_improved_wrmsse,descriptive_pattern,mean_delta_rank
smooth,calendar,0.12589053335035288,19.79455957170604,0.12387590257815262,5,0,Consistent evidence of usefulness,1
smooth,lag,0.02679709081749908,4.2134749644693335,0.040065233356756935,4,1,Consistent evidence of usefulness,2
smooth,event_snap,0.006075472847188767,0.9552847700253534,-0.0036574574297950635,2,3,Mixed or temporally unstable,3
smooth,rolling,-0.0011181629650971025,-0.17581578880034734,0.0026726132082013354,3,2,Mixed or temporally unstable,4
smooth,price,-0.007923356999275133,-1.2458392061423746,-0.0028352941741104365,2,3,Mixed or temporally unstable,5
erratic,calendar,0.11320475010108322,14.261553394980867,0.11842377290129114,4,1,Consistent evidence of usefulness,1
erratic,lag,0.0181973678513933,2.2925074524613205,0.01951836184180955,3,2,Mixed or temporally unstable,2
erratic,rolling,0.00787373446470314,0.9919343877884635,-0.006268312938170761,2,3,Mixed or temporally unstable,3
erratic,price,0.004197034322532156,0.5287430875286827,0.0022849067259945732,3,2,Mixed or temporally unstable,4
erratic,event_snap,-0.004004214923846128,-0.5044516673586561,-0.009134158554808813,2,3,Mixed or temporally unstable,5
intermittent,price,0.026657344825044317,2.2039279704870753,0.039661866123520406,3,2,Mixed or temporally unstable,1
intermittent,calendar,0.007057854923434625,0.5835166247609187,0.08203090754893938,4,1,Consistent evidence of usefulness,2
intermittent,event_snap,-0.050042889193820675,-4.1373559123048365,-0.0542234594245149,1,4,Removal usually improved WRMSSE,3
intermittent,rolling,-0.05041315615815898,-4.167968177877741,0.0034324785763559795,3,2,Mixed or temporally unstable,4
intermittent,lag,-0.0735894809630074,-6.084098641197945,-0.08602994007747977,0,5,Removal usually improved WRMSSE,5
lumpy,price,0.09499241775872902,8.424945370361506,0.10623415467384056,5,0,Consistent evidence of usefulness,1
lumpy,event_snap,0.07589716548951905,6.731373809629424,0.06193898062017089,5,0,Consistent evidence of usefulness,2
lumpy,calendar,0.044989256899566475,3.9901293237393927,0.09545532645646615,4,1,Consistent evidence of usefulness,3
lumpy,lag,-0.007925521979988437,-0.7029202044588129,0.020691863784555564,4,1,Mixed or temporally unstable,4
lumpy,rolling,-0.04743528749389505,-4.207069523996139,-0.07686471123221517,2,3,Mixed or temporally unstable,5
