demand_type,removed_feature_group,folds,mean_full_wrmsse,mean_ablation_wrmsse,mean_delta_wrmsse,median_delta_wrmsse,minimum_delta_wrmsse,maximum_delta_wrmsse,mean_wrmsse_change_percentage,folds_removal_worsened_wrmsse,folds_removal_improved_wrmsse,mean_delta_mae,mean_delta_rmse,mean_hierarchy_levels_worsened,wrmsse_change_from_mean_scores_percentage,descriptive_pattern
smooth,lag,5,0.6359855236703444,0.6627826144878436,0.02679709081749908,0.040065233356756935,-0.03646117294392082,0.0855383793190444,4.447221327850853,4,1,0.022244985679483166,0.03891658672817107,9.6,4.2134749644693335,Consistent evidence of usefulness
smooth,rolling,5,0.6359855236703444,0.6348673607052474,-0.0011181629650971025,0.0026726132082013354,-0.014734913856983112,0.007846725101864238,-0.09477557901875797,3,2,0.11031331614417166,0.12893773192683566,5.8,-0.17581578880034734,Mixed or temporally unstable
smooth,calendar,5,0.6359855236703444,0.7618760570206974,0.12589053335035288,0.12387590257815262,0.09256929346962772,0.15313980860677467,19.9387353656777,5,0,0.1143906047147933,0.1645719621558091,12.0,19.79455957170604,Consistent evidence of usefulness
smooth,event_snap,5,0.6359855236703444,0.6420609965175332,0.006075472847188767,-0.0036574574297950635,-0.042611037446764755,0.05946334298399847,1.0545542434950175,2,3,-0.0035422529243911427,-0.0035010010371429702,5.4,0.9552847700253534,Mixed or temporally unstable
smooth,price,5,0.6359855236703444,0.6280621666710694,-0.007923356999275133,-0.0028352941741104365,-0.056338197578252425,0.013284695995791851,-0.9057611970387693,2,3,0.019952641858722496,0.05210424536183078,7.0,-1.2458392061423746,Mixed or temporally unstable
erratic,lag,5,0.7937757337214324,0.8119731015728258,0.0181973678513933,0.01951836184180955,-0.010018326904595032,0.055533884303819114,2.108899821761967,3,2,0.026667665605934143,0.06987223859249383,9.4,2.2925074524613205,Mixed or temporally unstable
erratic,rolling,5,0.7937757337214324,0.8016494681861355,0.00787373446470314,-0.006268312938170761,-0.05923308305768482,0.096579132980958,0.4115293003186927,2,3,0.1412499149242949,0.17933904973003506,7.4,0.9919343877884635,Mixed or temporally unstable
erratic,calendar,5,0.7937757337214324,0.9069804838225156,0.11320475010108322,0.11842377290129114,-3.606617973450632e-05,0.28851675911808383,15.043393884185964,4,1,0.06255462575074225,0.05880423914364226,9.0,14.261553394980867,Consistent evidence of usefulness
erratic,event_snap,5,0.7937757337214324,0.7897715187975862,-0.004004214923846128,-0.009134158554808813,-0.04879691092503413,0.05291197540484427,-0.31410918382974695,2,3,0.005238036471991325,0.020858363772343937,5.0,-0.5044516673586561,Mixed or temporally unstable
erratic,price,5,0.7937757337214324,0.7979727680439646,0.004197034322532156,0.0022849067259945732,-0.020980358630113938,0.031201521042925617,0.47077132764316465,3,2,-0.003091319280029392,0.04518201785496352,5.0,0.5287430875286827,Mixed or temporally unstable
intermittent,lag,5,1.2095379332725238,1.1359484523095165,-0.0735894809630074,-0.08602994007747977,-0.10579193667627973,-0.009044053673228358,-6.210580257489508,0,5,0.005174773407309074,-0.02350611066197277,2.2,-6.084098641197945,Removal usually improved WRMSSE
intermittent,rolling,5,1.2095379332725238,1.159124777114365,-0.05041315615815898,0.0034324785763559795,-0.2749637309854742,0.024757944247908892,-3.603713148237742,3,2,0.03397262843039985,-0.030222161222157595,5.0,-4.167968177877741,Mixed or temporally unstable
intermittent,calendar,5,1.2095379332725238,1.2165957881959586,0.007057854923434625,0.08203090754893938,-0.39696583946458297,0.17256508663056458,2.032846647089807,4,1,0.02411869473584107,0.06557143701021487,9.6,0.5835166247609187,Consistent evidence of usefulness
intermittent,event_snap,5,1.2095379332725238,1.1594950440787033,-0.050042889193820675,-0.0542234594245149,-0.08313452970106261,0.0022288121262532545,-4.3012292929985945,1,4,-0.0015369683953060155,-0.0299492007900398,1.8,-4.1373559123048365,Removal usually improved WRMSSE
intermittent,price,5,1.2095379332725238,1.2361952780975682,0.026657344825044317,0.039661866123520406,-0.09451366484009971,0.12716715125899114,1.7442179993001006,3,2,-0.0006735873313905572,-0.054345698675549683,5.6,2.2039279704870753,Mixed or temporally unstable
lumpy,lag,5,1.1275137532987098,1.1195882313187213,-0.007925521979988437,0.020691863784555564,-0.19955606170439344,0.08192126228522834,0.5298398894114511,4,1,0.004372649571958797,0.0012663617363238623,8.6,-0.7029202044588129,Mixed or temporally unstable
lumpy,rolling,5,1.1275137532987098,1.0800784658048148,-0.04743528749389505,-0.07686471123221517,-0.18608728365406257,0.0899793645561201,-2.6678806982199945,2,3,0.06637979678995701,0.04732249668554465,4.8,-4.207069523996139,Mixed or temporally unstable
lumpy,calendar,5,1.1275137532987098,1.1725030101982763,0.044989256899566475,0.09545532645646615,-0.23007051021221137,0.1597842648602258,6.436345557094754,4,1,-0.0035683774216740626,-0.010857517206184397,9.0,3.9901293237393927,Consistent evidence of usefulness
lumpy,event_snap,5,1.1275137532987098,1.203410918788229,0.07589716548951905,0.06193898062017089,0.0035653951200023126,0.16337245469903272,8.190893578156066,5,0,-0.0006403681961216545,0.027682934451621934,10.0,6.731373809629424,Consistent evidence of usefulness
lumpy,price,5,1.1275137532987098,1.2225061710574388,0.09499241775872902,0.10623415467384056,0.01328620127108504,0.20221649949925347,9.427481841389795,5,0,-0.006226810564539775,0.0382039128158234,11.2,8.424945370361506,Consistent evidence of usefulness
