fold,demand_type,feature,feature_group,mean_absolute_shap,median_absolute_shap,mean_signed_shap,importance_share,importance_rank
1,erratic,rolling_mean_7,rolling,0.5202638388679043,0.438706710934639,-0.3731940611079023,0.3852440545844292,1
1,erratic,rolling_mean_28,rolling,0.13554011936543636,0.09906420111656189,-0.06469163257115075,0.10036450977800118,2
1,erratic,rolling_std_7,rolling,0.08903048025805545,0.07320719957351685,0.06748095305681935,0.0659251338145004,3
1,erratic,year,calendar,0.08603207417235223,0.08173736929893494,-0.08566224978054379,0.06370487933696362,4
1,erratic,is_weekend,calendar,0.08299612090883395,0.06724275648593903,-0.010587544754317994,0.06145682199107613,5
1,erratic,rolling_std_28,rolling,0.07169080695924744,0.02866249531507492,-0.058220406301219815,0.05308548295324146,6
1,erratic,weekday,calendar,0.06379229809798585,0.06592212989926338,-0.014130009859596636,0.04723680896985504,7
1,erratic,lag_7,lag,0.056324387885043896,0.026934145018458366,0.022197351682750326,0.04170698391807647,8
1,erratic,sell_price,price,0.054512191413719914,0.03232482448220253,-0.016482786318942674,0.04036509185455041,9
1,erratic,snap_flag,event_snap,0.04989353661523637,0.04310718551278114,-0.010298196336864619,0.036945078452955145,10
1,erratic,lag_56,lag,0.03528912414253552,0.02745815273374319,-0.020135626824678964,0.026130828729104546,11
1,erratic,month,calendar,0.03142421694625097,0.017553798854351044,0.008904459720807348,0.023268949029509975,12
1,erratic,lag_28,lag,0.027748568039235772,0.020793389528989792,-0.00774131729046238,0.020547210975893505,13
1,erratic,lag_14,lag,0.021001827678863296,0.014244248159229755,0.0015670188081112104,0.01555139651122872,14
1,erratic,price_vs_28d_avg,price,0.009991434758445621,0.004044399131089449,-0.005521210760873113,0.007398440079624081,15
1,erratic,event_flag,event_snap,0.007057714170572678,0.003575450857169926,-0.000588291363288168,0.005226083806027779,16
1,erratic,price_change,price,0.004172670217854651,0.001843143138103187,-0.002470677932564789,0.0030897715218261876,17
1,erratic,event_type_encoded,event_snap,0.003717156729436551,0.0011640506563708186,-0.0019158861519815266,0.002752473693136153,18
1,intermittent,rolling_mean_28,rolling,0.9186700123630103,0.6123069524765015,-0.6600297436378917,0.2390305908345281,1
1,intermittent,rolling_mean_7,rolling,0.7519968733965964,0.9245733916759491,-0.6993334653046727,0.19566357292032557,2
1,intermittent,year,calendar,0.6732939271578965,0.5500767529010773,-0.6732939271578965,0.1751856956774785,3
1,intermittent,rolling_std_28,rolling,0.4117356018056814,0.2573985606431961,-0.29612756278215263,0.10713031103962128,4
1,intermittent,rolling_std_7,rolling,0.19469288852325659,0.19083686918020248,-0.17061091230855838,0.050657532681719596,5
1,intermittent,sell_price,price,0.1779312282369418,0.1080397292971611,-0.014260813590761765,0.046296282714171626,6
1,intermittent,month,calendar,0.1434349283137895,0.10971257090568542,-0.1329763917478184,0.03732062133275068,7
1,intermittent,lag_14,lag,0.09768447549516915,0.09976891428232193,-0.07023119261831426,0.025416719364672952,8
1,intermittent,weekday,calendar,0.0921931939175673,0.07378014549612999,-0.035328899846241,0.023987931810634164,9
1,intermittent,is_weekend,calendar,0.07221156643582748,0.06839811056852341,-0.013418984130218763,0.018788872128136982,10
1,intermittent,lag_28,lag,0.06452232795539212,0.04804138466715813,-0.013465689094130328,0.01678819376451169,11
1,intermittent,lag_56,lag,0.06434221223283641,0.020368377678096294,-0.047691814212475134,0.01674132909384465,12
1,intermittent,lag_7,lag,0.054351367414674966,0.052333321422338486,0.03802817225015718,0.014141791166533321,13
