demand_type,feature_group,folds,mean_importance_share,standard_deviation_share,minimum_importance_share,maximum_importance_share,mean_absolute_shap,mean_model_rank,importance_rank
smooth,rolling,5,0.697081877813063,0.021788805850144782,0.6663414479256407,0.7257217233959589,0.8998684635438103,1.0,1
smooth,calendar,5,0.12944642006002177,0.01748190946982212,0.1118673851233973,0.15883103049346434,0.1679903191402951,2.0,2
smooth,lag,5,0.09093212780312096,0.00679705411394922,0.07945273533360823,0.09737031531987556,0.11775535961963499,3.0,3
smooth,event_snap,5,0.049820421689948706,0.004597218039244396,0.043594642415939494,0.055086920228691064,0.06427606807546114,4.0,4
smooth,price,5,0.03271915263384565,0.003079620348295227,0.02978635162911078,0.03742886621910785,0.04243819748310426,5.0,5
erratic,rolling,5,0.6626729299151798,0.04412466328156638,0.6046191811301722,0.7174274560091694,0.7114892420423345,1.0,1
erratic,calendar,5,0.15935114817130427,0.02700326595470317,0.12638240536895676,0.19566745932740476,0.1734875964822385,2.0,2
erratic,lag,5,0.08614833438636757,0.013312319828472611,0.07124870085442189,0.10393642013430324,0.09381030844556756,3.0,3
erratic,event_snap,5,0.05465849851132324,0.006837849899531691,0.044923635952119075,0.061954666194000356,0.05812508373528078,4.2,4
erratic,price,5,0.03716908901582517,0.009093601003823204,0.028973325794432597,0.05085330345600068,0.0410337979633517,4.8,5
intermittent,rolling,5,0.7083985268819026,0.07671749954376385,0.5924820074761946,0.8059876070629917,1.555696812084202,1.0,1
intermittent,calendar,5,0.13813789474041918,0.0684463200764953,0.07495385114696589,0.25528312094900035,0.35931777791516084,2.0,2
intermittent,price,5,0.07069806265229261,0.009820814500684468,0.06150492668328283,0.08654186300294821,0.15713537798877325,3.2,3
intermittent,lag,5,0.05916704748286663,0.01719370616494586,0.02956399898591611,0.07308803338956263,0.13988846236115868,3.8,4
intermittent,event_snap,5,0.023598468242519023,0.006048375080430061,0.017641911501959675,0.031637396095058674,0.05077063109596418,5.0,5
lumpy,rolling,5,0.7218992992914346,0.035476717615293675,0.663405751117694,0.7524045596865405,1.2038408988021145,1.0,1
lumpy,calendar,5,0.1139171112995467,0.028348478558539867,0.09333989821258969,0.16350166473855265,0.19949808231351943,2.0,2
lumpy,lag,5,0.06755590059636475,0.010677517365525357,0.053259242446012274,0.08286648009817313,0.11623472834223221,3.0,3
lumpy,price,5,0.055021784348581924,0.0032343380344891735,0.049556726216340254,0.05811992499302747,0.09308081226381694,4.0,4
lumpy,event_snap,5,0.04160590446407199,0.006188897766084188,0.03210617905255271,0.04656386842315634,0.06837427117400936,5.0,5
