fold,demand_type,model_file,selected_rounds,trace_rows,series_count,horizon_count,maximum_forecast_difference,maximum_additivity_difference,mean_additivity_difference,mean_bias_contribution,feature_share_sum,group_share_sum,trace_seconds,prediction_seconds,shap_seconds
1,erratic,xgb_fold1_erratic.ubj,970,5600,200,28,0.0,1.1103693395853043e-05,1.412102475260976e-06,1.924081563949585,1.0,1.0,0.7372131000738591,0.013644800055772066,3.3774676001630723
1,intermittent,xgb_fold1_intermittent.ubj,1250,5600,200,28,0.0,2.1944288164377213e-05,1.7991025105702972e-06,-0.39777058362960815,1.0,1.0,0.6887454998213798,0.01796149997971952,4.708596699871123
1,lumpy,xgb_fold1_lumpy.ubj,840,5600,200,28,0.0,8.935341611504555e-06,1.0269713681054782e-06,0.3808364272117615,0.9999999999999999,0.9999999999999999,0.6296881998423487,0.009934799978509545,3.2633580998517573
1,smooth,xgb_fold1_smooth.ubj,560,5600,200,28,0.0,9.268522262573242e-06,6.595070907370168e-07,1.8659427165985107,1.0000000000000002,1.0,0.6839099999051541,0.00691050011664629,1.8262789000291377
2,erratic,xgb_fold2_erratic.ubj,175,5600,200,28,0.0,3.349792677909136e-06,4.0412295595006394e-07,1.9159843921661377,1.0,1.0,0.7014788999222219,0.002639699960127473,0.6046935000922531
2,intermittent,xgb_fold2_intermittent.ubj,160,5600,200,28,0.0,2.878718078136444e-06,3.817469250070157e-07,-0.4190164804458618,1.0,1.0,0.6801531999371946,0.002865700051188469,0.4647824000567198
2,lumpy,xgb_fold2_lumpy.ubj,170,5600,200,28,0.0,2.236221916973591e-06,2.3332342582956957e-07,0.37060999870300293,1.0000000000000002,1.0,0.6971436999738216,0.0026355001609772444,0.42193269985727966
2,smooth,xgb_fold2_smooth.ubj,310,5600,200,28,0.0,3.988388925790787e-06,5.564806761260143e-07,1.8630694150924683,1.0,1.0,0.7314287000335753,0.004066399997100234,1.0151727001648396
3,erratic,xgb_fold3_erratic.ubj,440,5600,200,28,0.0,4.785484634339809e-06,7.168803615696464e-07,1.9174445867538452,0.9999999999999999,1.0,0.7602880999911577,0.006332499906420708,2.0331097999587655
3,intermittent,xgb_fold3_intermittent.ubj,850,5600,200,28,0.0,1.1495314538478851e-05,9.894606500740874e-07,-0.4017734229564667,1.0000000000000002,1.0000000000000002,0.6367808999493718,0.009734199848026037,3.4200196000747383
3,lumpy,xgb_fold3_lumpy.ubj,390,5600,200,28,0.0,4.204455763101578e-06,4.930131909069197e-07,0.37815359234809875,1.0,1.0,0.6366112001705915,0.004881600150838494,1.2714576001744717
3,smooth,xgb_fold3_smooth.ubj,400,5600,200,28,0.0,6.077869329601526e-06,5.738565048878691e-07,1.8627156019210815,0.9999999999999999,1.0,0.7046004000585526,0.004900899948552251,1.4320604000240564
4,erratic,xgb_fold4_erratic.ubj,150,5600,200,28,0.0,2.5404151529073715e-06,3.755084412659926e-07,1.913030982017517,1.0,1.0,0.707191800000146,0.0023580999113619328,0.5808733999729156
4,intermittent,xgb_fold4_intermittent.ubj,810,5600,200,28,0.0,7.827533408999443e-06,8.802421158447617e-07,-0.39434507489204407,0.9999999999999999,1.0,0.735815699910745,0.009373800130560994,3.0287967000622302
4,lumpy,xgb_fold4_lumpy.ubj,380,5600,200,28,0.0,3.7893769331276417e-06,4.955071865454995e-07,0.37968939542770386,1.0,1.0,0.6968350000679493,0.007204800145700574,1.3971905000507832
4,smooth,xgb_fold4_smooth.ubj,400,5600,200,28,0.0,5.00120222568512e-06,5.282899534161548e-07,1.8620247840881348,0.9999999999999997,1.0,0.6575589999556541,0.005992900114506483,1.311498399823904
5,erratic,xgb_fold5_erratic.ubj,150,5600,200,28,0.0,3.7375575629994273e-06,3.5973652115574495e-07,1.9108189344406128,1.0,1.0,0.7150429000612348,0.003770299954339862,0.6492025000043213
5,intermittent,xgb_fold5_intermittent.ubj,460,5600,200,28,0.0,5.975482054054737e-06,7.67530244668738e-07,-0.3937740623950958,1.0,1.0,0.6620418999809772,0.005832300055772066,1.5929168998263776
5,lumpy,xgb_fold5_lumpy.ubj,450,5600,200,28,0.0,7.394235581159592e-06,5.007938376166976e-07,0.3831849694252014,1.0,1.0000000000000002,0.7022983999922872,0.00504210009239614,1.642027499852702
5,smooth,xgb_fold5_smooth.ubj,185,5600,200,28,0.0,3.543449565768242e-06,4.1381706873875957e-07,1.8595329523086548,0.9999999999999999,1.0,0.7612725000362843,0.0040373001247644424,0.7039383000228554
