feature,feature_group,mean_absolute_shap,median_absolute_shap,mean_signed_shap,importance_share,importance_rank
rolling_mean_7,rolling,0.5714651442399814,0.5299552977085114,-0.38721879316647706,0.4200254608449553,1
rolling_mean_28,rolling,0.20624424147614004,0.1743016168475151,-0.12136165680878289,0.1515890049389529,2
is_weekend,calendar,0.0750404747480934,0.059004491195082664,-0.00577734677056599,0.055154562453692,3
rolling_std_28,rolling,0.06987220587442672,0.027085752226412296,-0.06002980614060301,0.051355897675423604,4
rolling_std_7,rolling,0.059008477701623374,0.03881290182471275,0.029684433612387044,0.04337108446630889,5
weekday,calendar,0.05856842072323161,0.06360001116991043,-0.009436717233580307,0.043047643680794556,6
year,calendar,0.04912524997629524,0.043622709810733795,-0.0478917899200139,0.036106936649406646,7
snap_flag,event_snap,0.04814413901975578,0.04202079586684704,-0.010196888708825489,0.03538582253454915,8
lag_56,lag,0.03857656058172454,0.030914110131561756,-0.019387017900782146,0.02835367615937715,9
lag_7,lag,0.03844238202623533,0.016641649417579174,-0.007619495742537765,0.028255055254545206,10
sell_price,price,0.037015958936960296,0.019378148019313812,-0.017789215963579345,0.027206637828790486,11
month,calendar,0.03336322533590289,0.015273350290954113,-0.010928585795149631,0.024521887709571144,12
lag_14,lag,0.025801776126964944,0.021703578531742096,-0.016171103492842787,0.018964241332268816,13
lag_28,lag,0.025076355105679106,0.015354978386312723,-0.0003987168921360811,0.01843105868439721,14
event_flag,event_snap,0.010542407007056422,0.005896134069189429,0.0016960872731371117,0.007748642950819113,15
price_vs_28d_avg,price,0.005503768899765922,0.0016667573945596814,-0.0019026145429283554,0.004045256463686485,16
event_type_encoded,event_snap,0.004881564754796029,0.002596678212285042,-0.002440988555776796,0.003587937963398613,17
price_change,price,0.003876465364116533,0.0007570275629404932,-0.0024815001974545633,0.002849192409062837,18
