demand_type,feature,feature_group,folds,mean_importance_share,standard_deviation_share,minimum_importance_share,maximum_importance_share,mean_absolute_shap,mean_signed_shap,mean_model_rank,importance_rank
smooth,rolling_mean_7,rolling,5,0.45960578984647116,0.025166751228003967,0.4200254608449553,0.487261815148201,0.5927456444709598,-0.3679182693793682,1.0,1
smooth,rolling_mean_28,rolling,5,0.14683542884871137,0.003608998535904136,0.14327052658833445,0.1515890049389529,0.1897601175740899,-0.09211889566232782,2.0,2
smooth,is_weekend,calendar,5,0.05347746079154767,0.002708605442889916,0.04893118802037951,0.055401861093582416,0.06901984282386339,-0.00600923968468643,3.4,3
smooth,rolling_std_28,rolling,5,0.05178259038879268,0.004482163546136297,0.04623969216573526,0.05773101674625998,0.06710457686030336,-0.05500568174612699,3.8,4
smooth,weekday,calendar,5,0.04267919797909363,0.0023418458944244004,0.04087888119538923,0.04654612735315703,0.055114175919658726,-0.008786174288144724,5.2,5
smooth,rolling_std_7,rolling,5,0.03885806872908771,0.004599941526116887,0.032087627720474785,0.04337108446630889,0.05025812463845725,0.00407329252124373,6.0,6
smooth,snap_flag,event_snap,5,0.037334086871526485,0.001813408659149298,0.03538582253454915,0.0399141815340615,0.04814855542630851,-0.001278879844559664,6.8,7
smooth,sell_price,price,5,0.026728052454339124,0.0024517244029950585,0.024068718916170462,0.030542039658871648,0.03465805822185251,-0.016320855971664775,9.2,8
smooth,lag_56,lag,5,0.026662090052383042,0.0026039318965162058,0.02392370189635198,0.029898373277503526,0.03451251153757818,-0.013029200876505642,9.2,9
smooth,lag_7,lag,5,0.024306457701805232,0.004642849716303928,0.016390242316329327,0.028255055254545206,0.03164541158166735,-0.009305822132671568,9.8,10
erratic,rolling_mean_7,rolling,5,0.43434899491838735,0.0313782059117598,0.3852440545844292,0.4643794404668256,0.46530890840869044,-0.2975590206135226,1.0,1
erratic,rolling_mean_28,rolling,5,0.10608854284018661,0.005042627456829279,0.10036450977800118,0.11305366753124209,0.1138263384016861,-0.04758734580505942,2.0,2
erratic,is_weekend,calendar,5,0.07095690590451822,0.008957287253511985,0.061025489568320046,0.0794258396694221,0.07542097542361133,-0.00678203853526793,3.8,3
erratic,rolling_std_28,rolling,5,0.06337032549784488,0.010717916024531024,0.052326377111254783,0.07710340438278729,0.06789233135237353,-0.0534080484732925,4.6,4
erratic,rolling_std_7,rolling,5,0.05886506665876086,0.011583042138524185,0.040864119231622906,0.071392867884844,0.06446166387958445,0.0007072281068440129,4.6,5
erratic,weekday,calendar,5,0.0497799285837018,0.004935656982369769,0.04294824850619129,0.054741552367575684,0.05325692814398157,-0.007674381907919715,6.2,6
erratic,snap_flag,event_snap,5,0.046803153224916356,0.006280988123583618,0.036945078452955145,0.05188062324291792,0.04960415627260643,-0.001055518451662335,7.0,7
erratic,sell_price,price,5,0.03154844175065537,0.0062319859614257235,0.02503244356884938,0.04036509185455041,0.034627819903744694,-0.005809186267823666,8.2,8
erratic,lag_7,lag,5,0.026818978047937963,0.009486299446084149,0.01935058185693194,0.04170698391807647,0.02985700708529875,0.00157363126182999,9.6,9
erratic,lag_56,lag,5,0.02452359004219711,0.0020053498705851444,0.021246495876609577,0.02615863700156893,0.026458389742185673,-0.010688556974973739,9.8,10
intermittent,rolling_mean_28,rolling,5,0.3004244833065194,0.035981124567381104,0.2390305908345281,0.3321587390674264,0.6559083336445328,-0.335865710859004,1.0,1
intermittent,rolling_mean_7,rolling,5,0.23499060385908002,0.02254731396183463,0.19566357292032557,0.2513011077188507,0.5159886088244425,-0.435583380317303,2.0,2
intermittent,rolling_std_28,rolling,5,0.12136959311494806,0.024882696471054604,0.10708897280376876,0.16539099223016882,0.268204458062267,-0.15988825644767116,3.2,3
intermittent,sell_price,price,5,0.0594935422026857,0.0093716269644474,0.046296282714171626,0.06931923589870873,0.1299528851279465,0.02848472728054029,4.6,4
intermittent,year,calendar,5,0.05208286950485539,0.06961507494997149,0.0034430396371380794,0.1751856956774785,0.1664910461392839,-0.12150218150391585,8.4,5
intermittent,rolling_std_7,rolling,5,0.05161384660135514,0.010872382879452722,0.03539027729364432,0.06553199112884688,0.11559541155295952,-0.09496827963354346,5.0,6
intermittent,is_weekend,calendar,5,0.037739457014789826,0.01094690167501731,0.018788872128136982,0.04549120804962397,0.07770956521267311,-0.009577956571279564,6.6,7
intermittent,weekday,calendar,5,0.02786638756314295,0.004186411570849504,0.023987931810634164,0.033217902602027845,0.06142688917601351,-0.0188076802525081,7.6,8
intermittent,month,calendar,5,0.020449180657630996,0.013128755388686448,0.0055464733869003005,0.03732062133275068,0.05369027738719033,-0.04416271064202208,10.4,9
intermittent,lag_28,lag,5,0.015785050002407104,0.007463844098916752,0.0033341466068119788,0.02173089562069712,0.03651062515535032,-0.009064485545000214,11.4,10
lumpy,rolling_mean_7,rolling,5,0.35597306757305847,0.013391884921531403,0.3393698530441909,0.3700549872433437,0.5960019556606524,-0.40565478381660397,1.0,1
lumpy,rolling_mean_28,rolling,5,0.2050027762790755,0.022336532450341753,0.17524738096765344,0.2309817202089959,0.3395148943868758,-0.1722340879039197,2.0,2
lumpy,rolling_std_7,rolling,5,0.08154320699317018,0.012417661566374305,0.06751989774216276,0.09428735418770158,0.13485647353722405,-0.09156111336751799,3.6,3
lumpy,rolling_std_28,rolling,5,0.07938024844613052,0.004315453166945233,0.07188498999419501,0.08272428254784576,0.13346757521736213,-0.0656033259052995,3.8,4
lumpy,sell_price,price,5,0.04541210215621276,0.0021805816277069997,0.04159061663269027,0.046809728418703976,0.07649177968124474,0.035530697673604145,5.4,5
lumpy,is_weekend,calendar,5,0.040918569443548644,0.0050880344132189885,0.03205206801561992,0.044679776639470856,0.0673164199902676,-0.00623696216310574,6.0,6
lumpy,year,calendar,5,0.03173314709503527,0.02934746082142013,0.015795220689248157,0.08389750109229804,0.061796677755006205,-0.021917544582155002,9.2,7
lumpy,snap_flag,event_snap,5,0.03147056593592606,0.0045860840754211665,0.023376516473811927,0.034277817355059165,0.051580176704645576,-0.003681540165591026,7.6,8
lumpy,weekday,calendar,5,0.03001367348515536,0.001535893150409964,0.028049378234406237,0.031493957854144085,0.05016551386511843,-0.012227940195287505,8.2,9
lumpy,lag_7,lag,5,0.025371195062101237,0.004552737523432064,0.018761235484166208,0.03112516748079778,0.043678252319583014,0.023466660777619965,9.0,10
