demand_type,model,level,level_name,folds,mean_series_count,mean_weight_sum,mean_wrmsse_contribution,standard_deviation_wrmsse_contribution,mean_level_normalised_wrmsse,standard_deviation_level_normalised_wrmsse,minimum_level_normalised_wrmsse,maximum_level_normalised_wrmsse
erratic,LSTM,1,Total,5,1.0,0.08333333333333333,0.11885190561825484,0.02058806554323712,1.4262228674190582,0.24705678651884544,1.1228856921337063,1.762137023137243
erratic,LSTM,2,State,5,3.0,0.08333333333333334,0.10701321465159956,0.016183656113265246,1.2841585758191947,0.1942038733591829,1.0872888754053764,1.5671179324441653
erratic,LSTM,3,Store,5,10.0,0.08333333333333333,0.10347581891243944,0.01469091535880089,1.2417098269492732,0.17629098430561066,1.112820649279022,1.541259281527448
erratic,LSTM,4,Category,5,3.0,0.08333333333333334,0.11115765392404861,0.02259897163443698,1.3338918470885832,0.2711876596132438,0.9736593763119273,1.6823735220363176
erratic,LSTM,5,Department,5,5.0,0.08333333333333334,0.10263309516382335,0.02097434733498689,1.2315971419658802,0.2516921680198428,0.9089197011145534,1.5570463603020337
erratic,LSTM,6,State × Category,5,9.0,0.08333333333333334,0.09947529604701998,0.016085553674104764,1.1937035525642397,0.1930266440892573,0.9995332467170135,1.4709643240745187
erratic,LSTM,7,State × Department,5,15.0,0.08333333333333333,0.105289856356272,0.013166075916815878,1.2634782762752639,0.1579929110017905,1.073326239334953,1.4360353599924245
erratic,LSTM,8,Store × Category,5,25.0,0.08333333333333334,0.09794718639826934,0.010224024935673787,1.175366236779232,0.12268829922808551,1.0665825981229307,1.383299893279534
erratic,LSTM,9,Store × Department,5,39.0,0.08333333333333334,0.10364468025104115,0.011356799805908013,1.2437361630124937,0.1362815976708964,1.110991304331649,1.4159544797391737
erratic,LSTM,10,Item,5,119.0,0.08333333333333333,0.10074976859393614,0.009140607928331672,1.2089972231272337,0.10968729513998014,1.092972284723079,1.3770463323774653
erratic,LSTM,11,Item × State,5,171.0,0.08333333333333333,0.10068382845411994,0.007712325975295178,1.2082059414494393,0.0925479117035421,1.1212875356224667,1.3507801259083096
erratic,LSTM,12,Item × Store,5,200.0,0.08333333333333334,0.10040792751397934,0.007317197505331374,1.2048951301677522,0.08780637006397651,1.1268879767009645,1.3441382851033412
erratic,XGBoost,1,Total,5,1.0,0.08333333333333333,0.046256736467260105,0.012323572756613528,0.5550808376071213,0.14788287307936235,0.32078087082109275,0.728100707138961
erratic,XGBoost,2,State,5,3.0,0.08333333333333334,0.053390352119215057,0.007367159506685571,0.6406842254305806,0.08840591408022692,0.5387367452687231,0.7562487332442913
erratic,XGBoost,3,Store,5,10.0,0.08333333333333333,0.0650507050648291,0.011850497518876409,0.7806084607779493,0.14220597022651688,0.6440509981454674,0.9717129147767342
erratic,XGBoost,4,Category,5,3.0,0.08333333333333334,0.053163109323638644,0.01655960515490859,0.6379573118836638,0.19871526185890315,0.36939853987589866,0.9195330418201006
erratic,XGBoost,5,Department,5,5.0,0.08333333333333334,0.055815555349443144,0.014838693318519062,0.6697866641933178,0.1780643198222287,0.43205526741671907,0.907259475737398
erratic,XGBoost,6,State × Category,5,9.0,0.08333333333333334,0.05866253687750402,0.009500337815136779,0.7039504425300482,0.11400405378164126,0.6277498628391491,0.8974653569553069
erratic,XGBoost,7,State × Department,5,15.0,0.08333333333333333,0.06882895854846519,0.016209294995385946,0.8259475025815822,0.19451153994463127,0.69658181996578,1.1641767212281373
erratic,XGBoost,8,Store × Category,5,25.0,0.08333333333333334,0.06746902065641497,0.01107164519371286,0.8096282478769796,0.13285974232455428,0.6981399031741505,0.9676929474931134
erratic,XGBoost,9,Store × Department,5,39.0,0.08333333333333334,0.07762251540676898,0.018011848080131912,0.931470184881228,0.21614217696158305,0.795004872575742,1.3018145792473839
erratic,XGBoost,10,Item,5,119.0,0.08333333333333333,0.08119163164801138,0.018792730327324918,0.9742995797761367,0.22551276392789904,0.8406600584597826,1.3705263018236566
erratic,XGBoost,11,Item × State,5,171.0,0.08333333333333333,0.08293716027764791,0.018026434735205762,0.995245923331775,0.21631721682246896,0.84966512222053,1.37365402819599
erratic,XGBoost,12,Item × Store,5,200.0,0.08333333333333334,0.08338745198223389,0.01777375061651946,1.0006494237868067,0.21328500739823347,0.8542108023403597,1.373451551530601
smooth,LSTM,1,Total,5,1.0,0.08333333333333333,0.08954258177414356,0.013647196935861895,1.0745109812897229,0.16376636323034283,0.8402025718068855,1.3019243544801504
smooth,LSTM,2,State,5,3.0,0.08333333333333333,0.08221647608865812,0.01070548090846267,0.9865977130638974,0.1284657709015521,0.7863594347321045,1.1415691323465336
smooth,LSTM,3,Store,5,10.0,0.08333333333333333,0.07935904712431593,0.010345738132504998,0.9523085654917912,0.1241488575900599,0.7532960676867075,1.0651507169580148
smooth,LSTM,4,Category,5,3.0,0.08333333333333334,0.08656678541218006,0.011826206061961454,1.0388014249461606,0.14191447274353736,0.8244144494644308,1.2159474352019095
smooth,LSTM,5,Department,5,5.0,0.08333333333333334,0.08489653098600197,0.011209657738310772,1.0187583718320237,0.13451589285972923,0.8081243343844877,1.1641269308133588
smooth,LSTM,6,State × Category,5,9.0,0.08333333333333334,0.07853515417607412,0.009190716457781911,0.9424218501128895,0.11028859749338302,0.7609029360765206,1.0505193037596705
smooth,LSTM,7,State × Department,5,14.0,0.08333333333333334,0.07622635728644986,0.009116682042649859,0.9147162874373983,0.10940018451179831,0.7378664060953581,1.0062495855508122
smooth,LSTM,8,Store × Category,5,29.0,0.08333333333333334,0.07480147776212767,0.008067250102435392,0.8976177331455322,0.09680700122922467,0.7495053896200224,0.9947079491316292
smooth,LSTM,9,Store × Department,5,39.0,0.08333333333333333,0.07258859702926901,0.00805397861387459,0.8710631643512283,0.096647743366495,0.733753266602419,0.9893787834490401
smooth,LSTM,10,Item,5,142.0,0.08333333333333334,0.06832564338783577,0.004340189594033683,0.8199077206540292,0.05208227512840426,0.7663498857816228,0.8817022240895466
smooth,LSTM,11,Item × State,5,180.0,0.08333333333333334,0.06752714969854455,0.003285058569787366,0.8103257963825345,0.039420702837448376,0.7672023510779307,0.8614251697564079
smooth,LSTM,12,Item × Store,5,200.0,0.08333333333333334,0.06718391479375645,0.0032821896006125432,0.8062069775250773,0.03938627520735044,0.7650514305499635,0.8616639637330787
smooth,XGBoost,1,Total,5,1.0,0.08333333333333333,0.0403236622247666,0.011847053325419448,0.4838839466971992,0.1421646399050334,0.3189175136837242,0.7121775708737216
smooth,XGBoost,2,State,5,3.0,0.08333333333333333,0.04499377821446734,0.008831308086303117,0.5399253385736081,0.10597569703563739,0.4092255144918137,0.7031600406762978
smooth,XGBoost,3,Store,5,10.0,0.08333333333333333,0.052684018505841756,0.006347917393039438,0.6322082220701011,0.07617500871647322,0.5316479114257978,0.7452887405339471
smooth,XGBoost,4,Category,5,3.0,0.08333333333333334,0.04597614265033071,0.010112711450201718,0.5517137118039684,0.12135253740242065,0.4097705054598336,0.744212906835933
smooth,XGBoost,5,Department,5,5.0,0.08333333333333334,0.04793262121026593,0.009052238743060263,0.5751914545231911,0.1086268649167232,0.4510732189010051,0.7469440048454857
smooth,XGBoost,6,State × Category,5,9.0,0.08333333333333334,0.05125120708585727,0.00846751957310011,0.6150144850302872,0.1016102348772013,0.4801496517244704,0.7661112514078497
smooth,XGBoost,7,State × Department,5,14.0,0.08333333333333334,0.05295056488251772,0.008041257711987836,0.6354067785902126,0.0964950925438541,0.5122586774530962,0.7830533677284337
smooth,XGBoost,8,Store × Category,5,29.0,0.08333333333333334,0.056506721875581034,0.005910213805055958,0.6780806625069723,0.07092256566067152,0.5892376285817041,0.7874741060354442
smooth,XGBoost,9,Store × Department,5,39.0,0.08333333333333333,0.05782739490133596,0.0056153727609596455,0.6939287388160316,0.06738447313151583,0.6150076667641541,0.8005703800783667
smooth,XGBoost,10,Item,5,142.0,0.08333333333333334,0.061258495514133406,0.002369431326698673,0.7351019461696009,0.028433175920384083,0.7048494760955366,0.7715068373318515
smooth,XGBoost,11,Item × State,5,180.0,0.08333333333333334,0.06208486188533822,0.00233025969255253,0.7450183426240585,0.027963116310630334,0.7177051258582519,0.7814301901990072
smooth,XGBoost,12,Item × Store,5,200.0,0.08333333333333334,0.06219605471990854,0.002238071438710208,0.7463526566389025,0.026856857264522423,0.7220618795066309,0.7855439558978375
