fold,demand_type,seasonal_naive_wrmsse,xgb_wrmsse,lstm_wrmsse,lstm_minus_xgb_wrmsse,lstm_vs_xgb_wrmsse_percentage,lstm_minus_naive_wrmsse,lstm_vs_naive_wrmsse_percentage,seasonal_naive_mae,xgb_mae,lstm_mae,seasonal_naive_rmse,xgb_rmse,lstm_rmse,lstm_mean_error,wrmsse_winner,mae_winner,rmse_winner
1,erratic,1.2000275966648548,1.053686498862462,1.373209772157657,0.31952327329519514,30.324320719696594,0.17318217549280224,14.431516072973174,4.7908928571428575,3.63983000502574,3.6633391196506895,7.790390142440144,6.2760180595825465,6.470478863581429,-1.7538805020494121,XGBoost,XGBoost,XGBoost
1,smooth,0.9393993699574196,0.7501394719981866,0.9892034373721311,0.23906396537394448,31.869268889042328,0.04980406741471155,5.301692656763122,3.6455357142857134,2.6929001325801747,2.985712706253731,6.17305492789892,4.8039447513071085,5.3296699127610285,-0.8183153562048184,XGBoost,XGBoost,XGBoost
2,erratic,1.0220203014208564,0.8291958060842349,1.4549035179524639,0.6257077118682289,75.45958472981779,0.43288321653160744,42.355637743183244,4.539285714285715,3.695783122062151,3.7821137700735457,7.409284715814341,5.842284595627961,6.542154189088603,-2.152345501272274,XGBoost,XGBoost,XGBoost
2,smooth,0.8635600552338148,0.6419646042932107,1.0361423798315303,0.3941777755383197,61.401792700440396,0.1725823245977155,19.984982347404625,3.3189285714285712,2.6420660869959725,2.8397774458477008,5.315711214342415,4.25606273011774,4.768720117598526,-1.4625065077189356,XGBoost,XGBoost,XGBoost
3,erratic,0.8296404350016086,0.7195213314918285,1.2075129368440942,0.4879916053522657,67.82170089946914,0.37787250184248566,45.54653870525887,4.4592857142857145,3.59520346833842,3.506942803535078,7.07659623588306,5.562652483634007,6.056247414232752,-1.6652249298191497,XGBoost,LSTM,XGBoost
3,smooth,0.7423857698754315,0.6185225190336855,0.9253110888115015,0.306788569777816,49.600226400343544,0.18292531893607,24.640197368918308,3.189107142857143,2.5240623922031955,2.6290356848282475,5.031596594095585,3.910346999839852,4.338340947787957,-1.1695133841357062,XGBoost,XGBoost,XGBoost
4,erratic,0.8372361282936016,0.6447701367353782,1.0789591188304504,0.4341889820950722,67.3401197353017,0.24172299053684876,28.87154320842703,4.414642857142857,3.4879937971622814,3.4706081904203163,7.108219588215161,5.359453992391577,5.8448408215863745,-1.2929613923229877,XGBoost,LSTM,XGBoost
4,smooth,0.7667991503584133,0.5388673909676954,0.7744190436565378,0.23555165268884237,43.712359782216524,0.007619893298124514,0.9937274049616335,3.3880357142857145,2.624678176266384,2.648373817106975,5.422621269143866,4.204688826686091,4.170111087292077,-0.90592258135389,XGBoost,XGBoost,LSTM
5,erratic,0.8609779440874287,0.7217048954332584,1.142065813639353,0.42036091820609445,58.2455406449392,0.2810878695519242,32.64751106369583,4.048392857142857,3.2345626298882832,3.3230070736432182,6.589182151721975,5.278287345291492,5.705050866764587,-1.5400973218067415,XGBoost,XGBoost,XGBoost
5,smooth,0.7197001184577659,0.6304336320589443,0.9137726279250846,0.2833389958661403,44.943508952842265,0.1940725094673187,26.96574649496982,3.1335714285714285,2.4941884126585503,2.591798515112272,4.836099372723553,3.899229938630924,4.184007286608574,-1.1243019910130119,XGBoost,XGBoost,XGBoost
