demand_type,feature_group,mean_importance_percentage,importance_rank,mean_delta_wrmsse,change_from_mean_scores_percentage,folds_removal_worsened,folds_removal_improved,comparison_pattern,fold_consistency,minimum_delta_wrmsse,maximum_delta_wrmsse,standard_deviation_delta_wrmsse,ablation_reproduction_difference
smooth,rolling,69.7081877813063,1,-0.0011181629650971,-0.1758157888003605,3,2,High model reliance but negative mean ablation effect,Mixed fold-level direction,-0.0147349138569831,0.0078467251018642,0.0100051633159371,1.9949319973733282e-17
smooth,calendar,12.944642006002177,2,0.1258905333503528,19.79455957170602,5,0,High model reliance and positive mean ablation effect,Removal worsened WRMSSE in all five folds,0.0925692934696277,0.1531398086067746,0.0237370953824156,-2.7755575615628914e-17
smooth,lag,9.093212780312095,3,0.026797090817499,4.213474964469318,4,1,Lower model reliance and positive mean ablation effect,Removal usually worsened WRMSSE,-0.0364611729439208,0.0855383793190444,0.0460544225298276,-5.551115123125783e-17
smooth,event_snap,4.98204216899487,4,0.0060754728471887,0.9552847700253518,2,3,Lower model reliance and positive mean ablation effect,Mixed fold-level direction,-0.0426110374467647,0.0594633429839984,0.0413609786800571,-7.892991815694472e-17
smooth,price,3.271915263384565,5,-0.0079233569992751,-1.2458392061423895,2,3,Lower model reliance and negative mean ablation effect,Mixed fold-level direction,-0.0563381975782524,0.0132846959957918,0.0281516008584914,3.9898639947466563e-17
erratic,rolling,66.26729299151798,1,0.0078737344647031,0.991934387788474,2,3,High model reliance and positive mean ablation effect,Mixed fold-level direction,-0.0592330830576848,0.096579132980958,0.05863168014197,-5.898059818321144e-17
erratic,calendar,15.935114817130428,2,0.1132047501010831,14.26155339498086,4,1,High model reliance and positive mean ablation effect,Removal usually worsened WRMSSE,-3.606617973450632e-05,0.2885167591180838,0.1134641290089411,-8.326672684688674e-17
erratic,lag,8.614833438636756,3,0.0181973678513932,2.29250745246131,3,2,Lower model reliance and positive mean ablation effect,Mixed fold-level direction,-0.010018326904595,0.0555338843038191,0.0260745480781405,-7.979727989493313e-17
erratic,event_snap,5.465849851132324,4,-0.0040042149238461,-0.504451667358652,2,3,Lower model reliance and negative mean ablation effect,Mixed fold-level direction,-0.0487969109250341,0.0529119754048442,0.0369618688751831,3.903127820947816e-17
erratic,price,3.716908901582517,5,0.0041970343225321,0.5287430875286807,3,2,Lower model reliance and positive mean ablation effect,Mixed fold-level direction,-0.0209803586301139,0.0312015210429256,0.0191052311192769,-4.0766001685454967e-17
intermittent,rolling,70.83985268819026,1,-0.050413156158159,-4.16796817787775,3,2,High model reliance but negative mean ablation effect,Mixed fold-level direction,-0.2749637309854742,0.0247579442479088,0.127472363402378,0.0
intermittent,calendar,13.813789474041918,2,0.0070578549234345,0.5835166247609017,4,1,High model reliance and positive mean ablation effect,Removal usually worsened WRMSSE,-0.3969658394645829,0.1725650866305645,0.2290935034559355,-9.71445146547012e-17
intermittent,price,7.0698062652292615,3,0.0266573448250443,2.203927970487064,3,2,Lower model reliance and positive mean ablation effect,Mixed fold-level direction,-0.0945136648400997,0.1271671512589911,0.0997244880547539,-3.469446951953614e-18
intermittent,lag,5.916704748286663,4,-0.0735894809630073,-6.084098641197947,0,5,Lower model reliance and negative mean ablation effect,Removal improved WRMSSE in all five folds,-0.1057919366762797,-0.0090440536732283,0.0386233913368795,5.551115123125783e-17
intermittent,event_snap,2.3598468242519024,5,-0.0500428891938206,-4.137355912304851,1,4,Lower model reliance and negative mean ablation effect,Removal usually improved WRMSSE,-0.0831345297010626,0.0022288121262532,0.0361557930018433,6.245004513516506e-17
lumpy,rolling,72.18992992914346,1,-0.047435287493895,-4.207069523996138,2,3,High model reliance but negative mean ablation effect,Mixed fold-level direction,-0.1860872836540625,0.0899793645561201,0.1087962108868397,1.3877787807814457e-17
lumpy,calendar,11.39171112995467,2,0.0449892568995664,3.9901293237393927,4,1,High model reliance and positive mean ablation effect,Removal usually worsened WRMSSE,-0.2300705102122113,0.1597842648602258,0.1579152646698811,-5.551115123125783e-17
lumpy,lag,6.755590059636475,3,-0.0079255219799884,-0.7029202044588091,4,1,Lower model reliance and negative mean ablation effect,Removal usually worsened WRMSSE,-0.1995560617043934,0.0819212622852283,0.1102222124403649,8.326672684688674e-17
lumpy,price,5.502178434858193,4,0.0949924177587289,8.424945370361513,5,0,Lower model reliance and positive mean ablation effect,Removal worsened WRMSSE in all five folds,0.013286201271085,0.2022164994992534,0.0778630190560868,-9.71445146547012e-17
lumpy,event_snap,4.160590446407199,5,0.075897165489519,6.731373809629418,5,0,Lower model reliance and positive mean ablation effect,Removal worsened WRMSSE in all five folds,0.0035653951200023,0.1633724546990327,0.0740791284810321,0.0
