d,CA_1,CA_2,CA_3,CA_4,TX_1,TX_2,TX_3,WI_1,WI_2,WI_3,date,CA_1_rolling_28,CA_2_rolling_28,CA_3_rolling_28,CA_4_rolling_28,TX_1_rolling_28,TX_2_rolling_28,TX_3_rolling_28,WI_1_rolling_28,WI_2_rolling_28,WI_3_rolling_28
d_1,4337,3494,4739,1625,2556,3852,3030,2704,2256,4038,2011-01-29,,,,,,,,,,
d_2,4155,3046,4827,1777,2687,3937,3006,2194,1922,4198,2011-01-30,,,,,,,,,,
d_3,2816,2121,3785,1386,1822,2731,2225,1562,2018,3317,2011-01-31,,,,,,,,,,
d_4,3051,2324,4232,1440,2258,2954,2169,1251,2522,3211,2011-02-01,,,,,,,,,,
d_5,2630,1942,3817,1536,1694,2492,1726,2,1175,2132,2011-02-02,,,,,,,,,,
d_6,3276,2288,4369,1389,2734,3439,2833,2049,2244,4590,2011-02-03,,,,,,,,,,
d_7,3450,2629,4703,1469,1691,2588,1947,2815,2232,4486,2011-02-04,,,,,,,,,,
d_8,5437,3729,5456,1988,2820,3772,2848,3248,2643,5991,2011-02-05,,,,,,,,,,
d_9,4340,2957,5581,1818,2887,3657,2832,1674,2140,4850,2011-02-06,,,,,,,,,,
d_10,3157,2218,4912,1535,2174,2932,2213,1355,1836,3240,2011-02-07,,,,,,,,,,
d_11,2995,2123,4447,1368,1607,2628,1989,1335,1526,3053,2011-02-08,,,,,,,,,,
d_12,2710,1901,4544,1195,2149,2669,1922,1410,1846,3312,2011-02-09,,,,,,,,,,
d_13,2928,2436,4406,1434,1895,2515,1699,1349,1785,3309,2011-02-10,,,,,,,,,,
d_14,3078,2584,4380,1312,2256,2883,2063,1946,2015,3928,2011-02-11,,,,,,,,,,
d_15,4316,3455,5187,1652,2944,4000,3137,2634,2442,5066,2011-02-12,,,,,,,,,,
d_16,4354,3563,5780,1933,3432,4779,3514,2012,2336,4677,2011-02-13,,,,,,,,,,
d_17,2757,1801,3303,1183,1921,2679,2119,1522,1612,2907,2011-02-14,,,,,,,,,,
d_18,2430,1797,3758,1511,2217,2927,2316,1363,1980,3771,2011-02-15,,,,,,,,,,
d_19,2272,1741,3641,1190,1962,2606,2038,1300,1628,3065,2011-02-16,,,,,,,,,,
d_20,2009,1614,3099,1113,1821,2449,2142,1459,1678,2934,2011-02-17,,,,,,,,,,
d_21,3015,2214,3320,1476,1951,2615,2145,1872,1813,3300,2011-02-18,,,,,,,,,,
d_22,4553,3080,4694,1543,2571,3705,2874,2596,2014,4059,2011-02-19,,,,,,,,,,
d_23,3966,3087,4794,1618,2810,3845,3134,1415,1592,3022,2011-02-20,,,,,,,,,,
d_24,3264,2601,4631,1501,2071,3006,2220,939,1356,2377,2011-02-21,,,,,,,,,,
d_25,2441,1810,3593,1286,1933,2725,1970,1089,1330,2324,2011-02-22,,,,,,,,,,
