,first_90_days_avg,last_90_days_avg,absolute_change,percentage_change
CA_1,3105.866666666667,4591.388888888889,1485.522222222222,47.82955553647576
CA_2,2419.488888888889,4432.688888888889,2013.1999999999998,83.20765634615206
CA_3,4171.422222222222,6344.844444444445,2173.4222222222224,52.10266682293276
CA_4,1466.9222222222222,2674.1222222222223,1207.2,82.29475167205715
TX_1,2205.5444444444443,3346.633333333333,1141.088888888889,51.737288349059696
TX_2,2965.177777777778,4064.411111111111,1099.2333333333331,37.07141411794683
TX_3,2262.9666666666667,3913.6444444444446,1650.677777777778,72.94308847285029
WI_1,1619.1777777777777,3874.288888888889,2255.1111111111113,139.27507788589546
WI_2,1701.2888888888888,5336.422222222222,3635.1333333333337,213.66937485305263
WI_3,3248.6111111111113,3983.4666666666667,734.8555555555554,22.620607097050012
