date,total_sales
2011-01-30,64380
2011-02-06,196230
2011-02-13,193715
2011-02-20,172328
2011-02-27,166645
2011-03-06,179283
2011-03-13,181714
2011-03-20,177597
2011-03-27,164513
2011-04-03,176545
2011-04-10,182025
2011-04-17,176125
2011-04-24,159691
2011-05-01,154072
2011-05-08,165448
2011-05-15,177537
2011-05-22,154287
2011-05-29,151152
2011-06-05,176634
2011-06-12,188462
2011-06-19,177514
2011-06-26,169040
2011-07-03,177030
2011-07-10,194662
2011-07-17,186668
2011-07-24,177274
2011-07-31,168009
2011-08-07,193591
2011-08-14,197309
2011-08-21,194069
2011-08-28,176567
2011-09-04,180622
2011-09-11,200693
2011-09-18,191793
2011-09-25,183097
2011-10-02,198162
2011-10-09,210403
2011-10-16,214796
2011-10-23,189794
2011-10-30,184029
2011-11-06,204814
2011-11-13,205730
2011-11-20,193321
2011-11-27,176866
2011-12-04,194253
2011-12-11,208254
2011-12-18,207633
2011-12-25,172791
2012-01-01,191225
2012-01-08,220394
2012-01-15,211342
2012-01-22,200486
2012-01-29,189034
2012-02-05,226986
2012-02-12,230819
2012-02-19,209412
2012-02-26,204654
2012-03-04,220850
2012-03-11,235095
2012-03-18,226743
2012-03-25,210949
2012-04-01,209471
2012-04-08,243471
2012-04-15,228127
2012-04-22,204877
2012-04-29,201244
2012-05-06,233506
2012-05-13,229733
2012-05-20,229095
2012-05-27,214782
2012-06-03,246368
2012-06-10,258576
2012-06-17,266697
2012-06-24,245295
2012-07-01,237358
2012-07-08,266563
2012-07-15,257125
2012-07-22,238116
2012-07-29,219810
2012-08-05,251490
2012-08-12,263071
2012-08-19,260586
2012-08-26,234119
2012-09-02,239427
2012-09-09,265475
2012-09-16,253106
2012-09-23,233643
2012-09-30,224691
2012-10-07,253466
2012-10-14,245567
2012-10-21,218212
2012-10-28,208427
2012-11-04,234825
2012-11-11,246134
2012-11-18,228702
2012-11-25,202892
2012-12-02,212203
2012-12-09,244157
2012-12-16,235419
2012-12-23,235783
2012-12-30,196621
2013-01-06,248571
2013-01-13,244623
2013-01-20,230807
2013-01-27,215976
2013-02-03,235285
2013-02-10,247569
2013-02-17,269588
2013-02-24,244231
2013-03-03,255076
2013-03-10,252140
2013-03-17,258928
2013-03-24,233896
2013-03-31,235136
2013-04-07,268253
2013-04-14,256617
2013-04-21,236047
2013-04-28,217530
2013-05-05,239653
2013-05-12,247597
2013-05-19,252227
2013-05-26,234042
2013-06-02,249063
2013-06-09,273544
2013-06-16,265290
2013-06-23,250390
2013-06-30,254059
2013-07-07,284003
2013-07-14,278789
2013-07-21,257709
2013-07-28,245786
2013-08-04,263696
2013-08-11,278939
2013-08-18,272622
2013-08-25,261814
2013-09-01,265663
2013-09-08,291648
2013-09-15,288497
2013-09-22,259942
2013-09-29,248794
2013-10-06,276737
2013-10-13,271329
2013-10-20,252996
2013-10-27,236597
2013-11-03,254950
2013-11-10,257124
2013-11-17,250345
2013-11-24,228602
2013-12-01,211722
2013-12-08,263554
2013-12-15,248443
2013-12-22,234427
2013-12-29,202819
2014-01-05,252390
2014-01-12,256956
2014-01-19,245606
2014-01-26,226615
2014-02-02,231779
2014-02-09,261339
2014-02-16,263608
2014-02-23,244622
2014-03-02,243234
2014-03-09,259646
2014-03-16,267129
2014-03-23,239186
2014-03-30,234800
2014-04-06,265934
2014-04-13,270766
2014-04-20,265226
2014-04-27,242777
2014-05-04,254747
2014-05-11,250782
2014-05-18,255733
2014-05-25,229485
2014-06-01,237203
2014-06-08,271306
2014-06-15,267469
2014-06-22,257010
2014-06-29,236195
2014-07-06,280950
2014-07-13,278100
2014-07-20,259155
2014-07-27,241497
2014-08-03,263223
2014-08-10,268648
2014-08-17,271235
2014-08-24,260816
2014-08-31,245691
2014-09-07,274371
2014-09-14,267704
2014-09-21,248554
2014-09-28,236322
2014-10-05,267710
2014-10-12,264090
2014-10-19,250778
2014-10-26,231772
2014-11-02,240512
2014-11-09,261019
2014-11-16,248876
2014-11-23,232014
2014-11-30,218848
2014-12-07,252300
2014-12-14,239338
2014-12-21,233325
2014-12-28,195632
2015-01-04,239674
2015-01-11,248964
2015-01-18,250802
2015-01-25,233704
2015-02-01,243213
2015-02-08,278414
2015-02-15,271462
2015-02-22,244144
2015-03-01,242658
2015-03-08,261923
2015-03-15,266820
2015-03-22,245218
2015-03-29,237725
2015-04-05,265895
2015-04-12,268017
2015-04-19,254146
2015-04-26,245812
2015-05-03,259544
2015-05-10,264598
2015-05-17,264557
2015-05-24,240394
2015-05-31,246335
2015-06-07,284812
2015-06-14,282983
2015-06-21,268678
2015-06-28,253019
2015-07-05,281203
2015-07-12,290046
2015-07-19,286753
2015-07-26,264513
2015-08-02,276430
2015-08-09,299194
2015-08-16,287917
2015-08-23,270219
2015-08-30,260435
2015-09-06,282054
2015-09-13,297455
2015-09-20,280086
2015-09-27,269056
2015-10-04,285782
2015-10-11,297121
2015-10-18,283721
2015-10-25,262793
2015-11-01,262161
2015-11-08,276604
2015-11-15,270161
2015-11-22,255509
2015-11-29,232692
2015-12-06,272222
2015-12-13,261621
2015-12-20,264484
2015-12-27,220882
2016-01-03,260771
2016-01-10,279813
2016-01-17,279664
2016-01-24,267857
2016-01-31,266224
2016-02-07,293532
2016-02-14,305528
2016-02-21,300165
2016-02-28,276443
2016-03-06,302577
2016-03-13,298607
2016-03-20,287425
2016-03-27,287458
2016-04-03,291571
2016-04-10,310767
2016-04-17,296009
2016-04-24,285279
2016-05-01,289814
2016-05-08,311512
2016-05-15,326832
2016-05-22,303606
